control_avg_abs_fwd_10d,control_avg_abs_fwd_14d,control_avg_abs_fwd_5d,control_avg_directional_fwd_10d,control_avg_directional_fwd_14d,control_avg_directional_fwd_5d,control_avg_path_range_10d,control_avg_path_range_14d,control_avg_path_range_5d,control_count,delta_abs_fwd_10d,delta_abs_fwd_14d,delta_abs_fwd_5d,delta_directional_fwd_10d,delta_directional_fwd_14d,delta_directional_fwd_5d,delta_path_range_10d,delta_path_range_14d,delta_path_range_5d,description,direction_hypothesis,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_5d,event_count,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_5d,event_path_range_10d,event_path_range_14d,event_path_range_5d,event_prior_1d_return,symbol,variant
0.0728131141185661,0.05869787173669846,0.05484001112003919,-0.0728131141185661,-0.05869787173669846,0.05484001112003919,0.15386256090667458,0.1599581902997536,0.07580881291155155,3,-0.03365580529360883,-0.006995122095370641,-0.008379810263540587,0.03365580529360883,0.006995122095370641,-0.008379810263540587,-0.00937964233877489,-0.002492951850080971,-0.012953241894432352,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.03915730882495727,0.051702749641327816,0.0464602008564986,4,2026-04-17,-0.03915730882495727,-0.051702749641327816,0.0464602008564986,0.1444829185678997,0.15746523844967264,0.0628555710171192,0.02548700759964162,LLY,baseline_complete_directional
0.11984281529313494,0.07252881651906007,0.089326319624437,0.11984281529313494,0.07252881651906007,0.017063407939853798,0.15467804911685748,0.16059442209491792,0.09239368427817168,3,-0.04688702543839034,0.06632362024278438,0.0004628111054602452,-0.04688702543839034,0.06632362024278438,0.07272572279004345,0.010459513668788945,0.0343363440030956,0.05912900905636839,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.0729557898547446,0.13885243676184444,0.08978913072989725,3,2026-04-24,0.0729557898547446,0.13885243676184444,0.08978913072989725,0.16513756278564642,0.19493076609801352,0.15152269333454008,-0.03671334386748759,LLY,baseline_complete_directional
0.023490064202537003,0.01638645501449461,0.012959087371004893,0.023490064202537003,0.01638645501449461,-0.0058047860654639,0.0848116246619683,0.0848116246619683,0.052968412231796214,3,-0.003740306639680651,-0.011608669352581941,-0.008630697390163386,-0.003740306639680651,-0.011608669352581941,0.001476396084622393,-0.00039619383342459624,-0.00039619383342459624,-0.0002474396449327898,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.01974975756285635,0.00477778566191267,0.004328389980841507,6,2026-04-17,0.01974975756285635,0.00477778566191267,-0.004328389980841507,0.0844154308285437,0.0844154308285437,0.052720972586863424,0.0060200828058820655,MSFT,baseline_complete_directional
0.023490064202537003,0.01638645501449461,0.012959087371004893,-0.023490064202537003,-0.01638645501449461,0.0058047860654639,0.0848116246619683,0.0848116246619683,0.052968412231796214,3,-0.003740306639680651,-0.011608669352581941,-0.008630697390163386,0.003740306639680651,0.011608669352581941,-0.001476396084622393,-0.00039619383342459624,-0.00039619383342459624,-0.0002474396449327898,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.01974975756285635,0.00477778566191267,0.004328389980841507,8,2026-04-17,-0.01974975756285635,-0.00477778566191267,0.004328389980841507,0.0844154308285437,0.0844154308285437,0.052720972586863424,0.0060200828058820655,MSFT,baseline_complete_directional
0.034540554181485016,0.033399001532837036,0.014091119093596135,-0.034540554181485016,-0.033399001532837036,-0.00609099335488128,0.08092505446224062,0.08092505446224062,0.04944832735286021,3,-0.012167608959875086,0.0023741603530844646,0.009883257996507947,0.012167608959875086,-0.0023741603530844646,-0.017883383735222802,-0.0057755089862855935,-0.0057755089862855935,0.025701218123094817,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.02237294522160993,0.0357731618859215,0.023974377090104082,6,2026-04-24,-0.02237294522160993,-0.0357731618859215,-0.023974377090104082,0.07514954547595502,0.07514954547595502,0.07514954547595502,0.021334936861094445,MSFT,baseline_complete_directional
0.03421268874014505,0.1064388184034956,0.0333912861352467,-0.0229392580150433,-0.1064388184034956,-0.03315753204455015,0.11005904886469582,0.14898014202799278,0.09522703983847845,3,-0.018197218688578154,-0.05774782276684347,-0.0007157605501614608,0.0389547280666102,0.05774782276684347,0.00048200645946491066,-0.012354764850415853,-0.03947498534413728,-0.027151871254583182,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.016015470051566894,0.048690995636652135,0.03267552558508524,10,2026-04-17,0.016015470051566894,-0.048690995636652135,-0.03267552558508524,0.09770428401427997,0.1095051566838555,0.06807516858389527,0.016788505167633083,NVDA,baseline_complete_directional
0.03421268874014505,0.1064388184034956,0.0333912861352467,0.0229392580150433,0.1064388184034956,0.03315753204455015,0.11005904886469582,0.14898014202799278,0.09522703983847845,3,-0.018197218688578154,-0.05774782276684347,-0.0007157605501614608,-0.0389547280666102,-0.05774782276684347,-0.00048200645946491066,-0.012354764850415853,-0.03947498534413728,-0.027151871254583182,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.016015470051566894,0.048690995636652135,0.03267552558508524,9,2026-04-17,-0.016015470051566894,0.048690995636652135,0.03267552558508524,0.09770428401427997,0.1095051566838555,0.06807516858389527,0.016788505167633083,NVDA,baseline_complete_directional
0.09117999504229808,,0.05008782611392126,-0.09117999504229808,,0.010235476896436927,0.16495586167383855,,0.08805204429286374,3,-0.057905879711237576,,-0.0029374924124758728,0.057905879711237576,,0.036914856805008466,-0.05423420228938568,,0.006560717986869219,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.033274115331060505,0.13189609641330957,0.04715033370144539,5,2026-04-24,-0.033274115331060505,-0.13189609641330957,0.04715033370144539,0.11072165938445287,0.20070101310798474,0.09461276227973296,0.04322781005810472,NVDA,baseline_complete_directional
0.09117999504229808,,0.05008782611392126,0.09117999504229808,,-0.010235476896436927,0.16495586167383855,,0.08805204429286374,3,-0.057905879711237576,,-0.0029374924124758728,-0.057905879711237576,,-0.036914856805008466,-0.05423420228938568,,0.006560717986869219,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.033274115331060505,0.13189609641330957,0.04715033370144539,11,2026-04-24,0.033274115331060505,0.13189609641330957,-0.04715033370144539,0.11072165938445287,0.20070101310798474,0.09461276227973296,0.04322781005810472,NVDA,baseline_complete_directional
0.031641764079130885,0.0490448030398265,0.025707897249007166,0.031641764079130885,0.0490448030398265,0.025707897249007166,0.05711243401584526,0.07110524820934828,0.04833860192240894,3,0.012988134324352418,-0.009857575173353395,-0.005388593910835942,0.012988134324352418,-0.009857575173353395,-0.005388593910835942,0.0025755195400328154,-0.004523245306590762,0.00481814698905695,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.044629898403483304,0.03918722786647311,0.020319303338171224,1,2026-04-17,0.044629898403483304,0.03918722786647311,0.020319303338171224,0.059687953555878075,0.06658200290275752,0.05315674891146589,0.012490815576781777,PFE,baseline_complete_directional
0.031641764079130885,0.0490448030398265,0.025707897249007166,-0.031641764079130885,-0.0490448030398265,-0.025707897249007166,0.05711243401584526,0.07110524820934828,0.04833860192240894,3,0.012988134324352418,-0.009857575173353395,-0.005388593910835942,-0.012988134324352418,0.009857575173353395,0.005388593910835942,0.0025755195400328154,-0.004523245306590762,0.00481814698905695,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.044629898403483304,0.03918722786647311,0.020319303338171224,8,2026-04-17,-0.044629898403483304,-0.03918722786647311,-0.020319303338171224,0.059687953555878075,0.06658200290275752,0.05315674891146589,0.012490815576781777,PFE,baseline_complete_directional
