group,n,symbols,avg_abs_fwd_1d,median_abs_fwd_1d,p75_abs_fwd_1d,p90_abs_fwd_1d,abs_hit_fwd_1d_gt_2pct,abs_hit_fwd_1d_gt_5pct,directional_avg_fwd_1d,avg_abs_fwd_5d,median_abs_fwd_5d,p75_abs_fwd_5d,p90_abs_fwd_5d,abs_hit_fwd_5d_gt_2pct,abs_hit_fwd_5d_gt_5pct,directional_avg_fwd_5d,avg_abs_fwd_20d,median_abs_fwd_20d,p75_abs_fwd_20d,p90_abs_fwd_20d,abs_hit_fwd_20d_gt_2pct,abs_hit_fwd_20d_gt_5pct,directional_avg_fwd_20d,avg_abs_dd_5d,median_abs_dd_5d,avg_mfe_5d,median_mfe_5d,avg_5d_tradeable_excursion_proxy,median_5d_tradeable_excursion_proxy,p75_5d_tradeable_excursion_proxy
activity:false_breakdown,128,18,0.026364362871445713,0.019428275112968907,0.03329543547575092,0.05579451154132824,0.4921875,0.1484375,-0.0017868728200479923,0.06311642069015223,0.04410474437148082,0.08022787192961525,0.15467930878147465,0.7265625,0.4296875,0.007274058622430025,0.10057999276385658,0.06481785613346269,0.11815588324368329,0.25684215641652935,0.7622950819672131,0.6147540983606558,0.015549233349846401,0.05608790555444547,0.037992100057463396,0.06626661965508741,0.03633940920771073,0.10029105626685844,0.07864305545497663,0.13148887337656115
activity:liquidity_sweep_low,128,18,0.026364362871445713,0.019428275112968907,0.03329543547575092,0.05579451154132824,0.4921875,0.1484375,-0.0017868728200479923,0.06311642069015223,0.04410474437148082,0.08022787192961525,0.15467930878147465,0.7265625,0.4296875,0.007274058622430025,0.10057999276385658,0.06481785613346269,0.11815588324368329,0.25684215641652935,0.7622950819672131,0.6147540983606558,0.015549233349846401,0.05608790555444547,0.037992100057463396,0.06626661965508741,0.03633940920771073,0.10029105626685844,0.07864305545497663,0.13148887337656115
activity:bear_trap,128,18,0.026364362871445713,0.019428275112968907,0.03329543547575092,0.05579451154132824,0.4921875,0.1484375,-0.0017868728200479923,0.06311642069015223,0.04410474437148082,0.08022787192961525,0.15467930878147465,0.7265625,0.4296875,0.007274058622430025,0.10057999276385658,0.06481785613346269,0.11815588324368329,0.25684215641652935,0.7622950819672131,0.6147540983606558,0.015549233349846401,0.05608790555444547,0.037992100057463396,0.06626661965508741,0.03633940920771073,0.10029105626685844,0.07864305545497663,0.13148887337656115
large_crypto_sensitive:abnormal,69,1,0.04520895148977035,0.03593627794014742,0.0636692091529506,0.08955701646709047,0.7681159420289855,0.36231884057971014,0.010222461760993583,0.1057145581954603,0.09182623018324065,0.15684877840302014,0.21561595951173648,0.8260869565217391,0.7391304347826086,0.049748688650362326,0.27929635877770564,0.2104591311509162,0.33927316534484486,0.651336898395722,0.9836065573770492,0.9508196721311475,0.14070857737190795,0.06945842767035874,0.04751908396946558,0.1264112444649699,0.09532633312744498,0.16294401088319677,0.14047378811142797,0.19882512426570287
large_crypto_sensitive:non_abnormal,243,1,0.03907345180517067,0.031796775750795314,0.05203438771827576,0.0776779658417082,0.6818181818181818,0.2727272727272727,0.0007783047985651824,0.08221866396447455,0.0576117066947337,0.11568455522236007,0.17103170584664734,0.8235294117647058,0.5798319327731093,0.004997240081417738,0.16682713044489966,0.12894961571306574,0.20577030472459706,0.32787074437391794,0.935064935064935,0.8095238095238095,0.011464502958219838,0.08089447912945018,0.06949858945717635,0.08577376124589314,0.06451328405149437,0.13294023937141192,0.11262693757565762,0.15688097991149647
large_energy:abnormal,140,2,0.012555539202946808,0.008767222450282053,0.015744248366736047,0.026188035354331764,0.19285714285714287,0.02857142857142857,-0.0017934350019865747,0.02461720836615239,0.019271043317700687,0.03486628896999189,0.049554975852325024,0.45714285714285713,0.1,0.0029332497061856978,0.04575982075299078,0.03444251127767106,0.07281986484980707,0.1037111716257082,0.6328125,0.34375,0.0010259508581774096,0.024875317512083,0.018350168350168394,0.02407251829340706,0.02316898438277004,0.03943161797965172,0.034172976147412104,0.04759425136177248
large_energy:non_abnormal,484,2,0.009740044485986199,0.007496325988613606,0.013777194788812841,0.021148003282470067,0.11618257261410789,0.006224066390041493,0.0005509143444379775,0.024651114652421268,0.02072010318443618,0.03222084515222387,0.04508872423625842,0.5126582278481012,0.07172995780590717,-0.00046198839111764124,0.04640073954014832,0.03907151761127409,0.06914062241276045,0.09611907987755863,0.7105263157894737,0.3793859649122807,-0.00047657479457826924,0.02354429211873306,0.017543752381647904,0.022831416235159448,0.020417259483284766,0.0373261534508546,0.03357962692393768,0.043386153938060584
large_financials:abnormal,61,1,0.013453976233536025,0.009154714678059284,0.016995953344441705,0.03085260732269346,0.18032786885245902,0.03278688524590164,1.9776258140797937e-05,0.02911396949494433,0.020697713236521365,0.03831309422950213,0.06690876078075358,0.5409836065573771,0.19672131147540983,0.007670156264205921,0.06676263874480813,0.06370023990917173,0.09111871260973398,0.12855821757458163,0.8392857142857143,0.625,0.018987679631274425,0.027477949141502783,0.016756403160066324,0.02770463743189301,0.02197131522734197,0.044517422520636125,0.03575339204951189,0.055775204744422435
large_financials:non_abnormal,251,1,0.01060873773604734,0.0078008097665858145,0.013902760517746277,0.020363420055224533,0.108,0.016,0.0015463108876820012,0.028607181726012433,0.021485305480591632,0.038112665652507816,0.06406760067289785,0.540650406504065,0.17479674796747968,0.005817769379966621,0.0536516443352802,0.04392102819751853,0.07678245490097985,0.11026649626151819,0.809322033898305,0.4745762711864407,0.020949755708012482,0.02345365832709393,0.013993231810490725,0.026971807060906624,0.022824521236174622,0.04158272740156333,0.030944931683227206,0.05106304424728131
large_healthcare:abnormal,130,2,0.014819591487092689,0.010997023807576889,0.020368782566452664,0.03093192977174321,0.2692307692307692,0.023076923076923078,-0.00011932065154695112,0.03545282493889593,0.025115454050802843,0.047328771733675806,0.08490296835179484,0.609375,0.234375,-0.0007694830324324956,0.06084007755240717,0.04816853571349777,0.0966448975608376,0.13587627665311727,0.7583333333333333,0.48333333333333334,0.002729965195033877,0.03492868197548467,0.02501634076014686,0.030998452210627102,0.02518088216923675,0.054006680612636804,0.04442136721229417,0.06416332723873419
large_healthcare:non_abnormal,494,2,0.01290564499904164,0.009271760189509148,0.01763648156871972,0.02795070594342551,0.20121951219512196,0.018292682926829267,0.0006528694873302592,0.030689909572639545,0.024460977806834316,0.03992581695372277,0.06414068041186682,0.588477366255144,0.16255144032921812,0.0022797727743575566,0.058134993643237515,0.04465341733425843,0.0857278176355305,0.12880486804321067,0.7435344827586207,0.44612068965517243,-0.0017692485129621603,0.029854766842929148,0.02338649806056592,0.03162920445981686,0.02513564168458804,0.048804121417023054,0.0395720130841104,0.05943272686364953
large_semiconductor_ai:abnormal,60,1,0.03053628455768503,0.023378644295935613,0.040037142329449715,0.06290215087974158,0.55,0.16666666666666666,-0.002056750350262996,0.055963878398937586,0.05417230531255113,0.07737401816014763,0.09905882877466747,0.7666666666666667,0.5166666666666667,-0.0021441159390936456,0.09928545589465737,0.09120065216962486,0.14325245685840415,0.1906173588070446,0.8269230769230769,0.7307692307692307,-0.05959131716261559,0.05703385925017789,0.049368353599058445,0.05118158013584198,0.045385750938188196,0.08682811812653882,0.07908343628985204,0.10896034864725701
