group,n,symbols,avg_same_day_return,median_same_day_return,avg_fwd_1d,median_fwd_1d,avg_fwd_5d,median_fwd_5d,avg_fwd_20d,median_fwd_20d,avg_dd_5d,median_dd_5d,avg_mfe_5d,median_mfe_5d,hit_fwd_1d,hit_fwd_5d,hit_fwd_20d
mega_semiconductor_ai:abnormal,64,1,-0.021187194433627578,-0.012743222031369239,0.0038498996738684623,0.0035524204843515594,0.015733463478870606,0.018566369987558673,-0.020119826983110923,0.03087781208645768,-0.061217635615144934,-0.061114476606877854,0.07175500596861899,0.05994324081124103,0.5238095238095238,0.5873015873015873,0.6
mega_semiconductor_ai:non_abnormal,248,1,0.004994815489347208,0.004997790439477567,-0.0015491508973275161,0.0023462911077370974,-0.010004894535542755,0.005416368337477717,-0.04524108242531429,-0.016147149677057104,-0.0690688471522907,-0.04516956000135586,0.054535059068329825,0.05095450663992307,0.5282258064516129,0.5245901639344263,0.42616033755274263
mega_technology:abnormal,136,2,-0.0045615977050757995,-0.005667808416072173,-0.001891260278360422,-0.0011069250635764027,-0.0011978313074201608,-0.001798105761430413,-0.0030050975790065822,-0.006743807821802228,-0.030195488013793667,-0.023556428607695634,0.026468068396625997,0.02083112956618549,0.47058823529411764,0.4852941176470588,0.4603174603174603
mega_technology:non_abnormal,488,2,0.0017395528892381318,0.0021669932890211463,0.0009399197739332342,0.0014912360990260165,0.0020091549954667164,0.003492757920584233,0.003378239605826489,0.0032434135127712427,-0.024837139546938777,-0.016964349261907263,0.02544369318499548,0.022334072343923816,0.5596707818930041,0.5502092050209205,0.517467248908297
micro_biotech_speculative:abnormal,54,1,-0.008799387167310789,0.002799562152080104,-0.02543823487141634,-0.017554207465086846,-0.07231028381714066,-0.050252654042257316,-0.06382600296877917,-0.08473926218382821,-0.17484092073686724,-0.11651583710407243,0.12225582703952577,0.08331278489148453,0.35185185185185186,0.3888888888888889,0.28846153846153844
micro_biotech_speculative:non_abnormal,258,1,-0.0019964213387577475,-0.005729131473406812,0.0015097819941677637,-0.0035460992907800915,0.0017488457986473704,-0.01680672268907568,-0.03652319006302159,-0.035933297471758885,-0.09293928047765714,-0.06918238993710701,0.11515191604704814,0.07132298595713227,0.44357976653696496,0.45849802371541504,0.3458333333333333
micro_defense_drone:abnormal,96,1,0.038260942075854766,0.03053233704829439,0.010037603302935495,0.0074025974025973,0.08956662105298355,0.0547945205479452,0.2627682306988621,0.19999999999999996,-0.10044416728121375,-0.06818181818181823,0.23473583840102433,0.14671814671814687,0.5368421052631579,0.6842105263157895,0.7471264367816092
micro_defense_drone:non_abnormal,216,1,-0.003113513824860519,-0.007580350812169623,0.00937654392053323,0.0,0.03447957128890644,0.03015151515151515,0.23297127982805205,0.09593105397004797,-0.09850931705343277,-0.09357132647226996,0.1592739631683759,0.11572132618249253,0.48148148148148145,0.5613207547169812,0.6195121951219512
mid_consumer_retail:abnormal,129,2,-0.0022793946691808276,-0.0063909321114192785,-0.0013941561065886844,-0.001279707495429605,-0.009859042856498449,-0.012015195688665048,-0.020159689356286273,-0.014172053704624599,-0.07674825405618833,-0.06489815253434394,0.06763462821614998,0.055372492836676335,0.4573643410852713,0.4496124031007752,0.48717948717948717
mid_consumer_retail:non_abnormal,495,2,0.0010453276153298964,0.0020642878207017823,0.0006670486333772039,0.0015699819452077435,0.003301149953796869,0.005245028965085385,7.90378823170046e-05,0.009446941208841597,-0.05968867943845604,-0.04724125495852871,0.0656061137253908,0.05193375454719518,0.5212981744421906,0.5195876288659794,0.5160599571734475
mid_industrial_aerospace:abnormal,68,1,0.02303110856625827,0.009441700094092065,0.009414453235443094,0.0025839793281652312,0.04385354691690157,0.01899077590884435,0.14407333148552967,0.10752923045185081,-0.06602036016471886,-0.06181768855127501,0.13252058251406001,0.09466303077522409,0.5223880597014925,0.5522388059701493,0.6833333333333333
mid_industrial_aerospace:non_abnormal,244,1,0.0014892548937086184,0.0018989309460385462,0.006024013239403011,0.002537940935192662,0.031094653066426267,0.010466818937862832,0.14025006603692694,0.10834917617237017,-0.06404822557678354,-0.052781537146520285,0.10438362137394368,0.07382194232464134,0.5204918032786885,0.55,0.7025862068965517
small_biotech:abnormal,70,1,0.027660329887983108,0.006438642930414518,0.0020894313967314672,0.004492532113314018,0.042366705519673545,0.00037697914048751,0.07828881311128921,-0.052499165546341486,-0.08381981936072165,-0.062475396259155824,0.16521698070512963,0.07626831299723602,0.5285714285714286,0.5072463768115942,0.3387096774193548
small_biotech:non_abnormal,242,1,-0.0035666876197381686,-0.0050559525924420146,0.0038784035035118463,-0.005071191730056657,0.008090811437863853,-0.02390509333449442,0.0067572441507488,-0.05260455691855426,-0.08375672002055336,-0.07628780718336481,0.10183642896717233,0.05818965517241392,0.4605809128630705,0.40336134453781514,0.3695652173913043
small_communications_satellite:abnormal,78,1,0.04731075721916138,0.023671285454072377,0.026957273033835907,0.0015923566878981443,0.08427976994301728,0.01002004008016022,0.38622197715889,0.011848341232227444,-0.08622942025653602,-0.08764940239043817,0.21474509312186468,0.1295116772823779,0.5064935064935064,0.5194805194805194,0.5352112676056338
small_communications_satellite:non_abnormal,234,1,-0.002119352481852411,-0.005479720387156217,0.004735673491723439,-0.0036952980678432445,0.04278481489666237,0.008950023113511674,0.21989856812127695,-0.002892561983471098,-0.08993892680150861,-0.08692856207780042,0.1543734813151642,0.09687518295181796,0.48717948717948717,0.5173913043478261,0.4796380090497738
small_industrial_aerospace:abnormal,89,1,0.018955962797717735,0.0060975609756097615,-0.0011929476184485246,-0.013337270066226037,0.013084506464359873,0.004516360591015123,0.07250014754226287,-0.005280230485428972,-0.0899965568037565,-0.06981000295602485,0.12818380134270158,0.09178176890117862,0.42045454545454547,0.5113636363636364,0.475
