symbol,bucket,date,is_abnormal,activity_type,return_zscore,volume_zscore,relative_strength_zscore,gap_pct,same_day_return,fwd_1d,fwd_5d,fwd_20d,dd_5d,mfe_5d
LLY,large_healthcare,2024-12-18,False,,,,,,-0.017864940535819773,-0.0093761033594435,0.03848517738750634,-0.029239842554693918,-0.016104144054609026,0.06099044082070315
LLY,large_healthcare,2024-12-19,False,,,,,,-0.0093761033594435,0.01349103677693586,0.033833196926895015,-0.004699421812709437,0.01197296512395396,0.07103255273648923
LLY,large_healthcare,2024-12-20,True,volume_spike;gap,0.846465,6.151961,0.304024,0.071033,0.01349103677693586,0.037147025112014065,0.007919141398353702,-0.00151088881942274,0.004220068771491059,0.047084896321767156
LLY,large_healthcare,2024-12-23,True,return_zscore;sector_relative_move,2.285773,-0.10805,2.212524,0.022676,0.037147025112014065,-0.0007660621891797392,-0.03049178680866027,-0.013650977043251133,-0.04016175214748585,0.009581930979052578
LLY,large_healthcare,2024-12-24,False,,,,,,-0.0007660621891797392,-0.0019229077381326398,-0.022119723000741387,0.01571003054029929,-0.039425892643935256,0.010355926451921071
LLY,large_healthcare,2024-12-26,False,,,,,,-0.0019229077381326398,-0.013813685244415397,-0.015312161583599826,0.013662578386682389,-0.0375752386229129,-0.00106404412320249
LLY,large_healthcare,2024-12-27,False,,,,,,-0.013813685244415397,-0.01191312231060937,-0.02307289605066576,0.02669918408519223,-0.025307404522645016,0.0048903813986747036
LLY,large_healthcare,2024-12-30,False,,,,,,-0.01191312231060937,-0.002377752506978248,-0.000710741238499013,0.06382456321720253,-0.015791119611289206,0.01700609945208309
LLY,large_healthcare,2024-12-31,False,,,,,,-0.002377752506978248,0.007862694300518225,0.019715025906735795,0.05062176165803112,-0.013445336787564877,0.026632124352331532
LLY,large_healthcare,2025-01-02,False,,,,,,0.007862694300518225,0.005025254797126122,0.028056601591116337,0.041590088295397454,-0.021141799581014697,0.028185124731707978
LLY,large_healthcare,2025-01-03,False,,,,,,0.005025254797126122,-0.021586229826849768,0.0198214788101998,0.05638251617688428,-0.02603621575999393,0.029872886774597873
LLY,large_healthcare,2025-01-06,True,sector_relative_move,-1.390141,0.51872,-2.214631,0.002219,-0.021586229826849768,0.010704483074107873,-0.026388707358515284,0.10074500065350933,-0.04718337472225853,0.05259443210037906
LLY,large_healthcare,2025-01-07,False,,,,,,0.010704483074107873,0.018013940436317544,-0.03433382042959299,0.12554151741261377,-0.05727476108575047,0.04144628793854843
LLY,large_healthcare,2025-01-08,False,,,,,,0.018013940436317544,0.01610731434668833,-0.03762607657325778,0.1157109829526688,-0.07395645435837506,0.023017707883437932
LLY,large_healthcare,2025-01-10,True,sector_relative_move,1.225585,0.439254,2.277655,0.005983,0.01610731434668833,-0.0030253781722714423,-0.0927365920740092,0.086235779472434,-0.0936242030253781,0.006800850106263301
LLY,large_healthcare,2025-01-13,False,,,,,,-0.0030253781722714423,-0.06592014846767325,-0.06913026032000802,0.08466670010533184,-0.09087375231980743,-0.016621106485429138
LLY,large_healthcare,2025-01-14,True,return_zscore;volume_spike;sector_relative_move,-4.61386,3.967669,-4.657389,-0.016621,-0.06592014846767325,0.0024566726181687315,0.012175967566551815,0.17191338550965907,-0.026714636667516833,0.027654347505067678
LLY,large_healthcare,2025-01-15,False,,,,,,0.0024566726181687315,0.014543214505718272,0.026595602217639458,0.16755497227950822,-0.029099820553338485,0.026595602217639458
LLY,large_healthcare,2025-01-16,False,,,,,,0.014543214505718272,-0.04208025343189015,0.036708025343188844,0.11440073917634619,-0.043017423442449854,0.04182946145723321
LLY,large_healthcare,2025-01-17,True,return_zscore;sector_relative_move,-2.031151,0.750179,-2.442856,-0.012896,-0.04208025343189015,0.022915173896268515,0.11361131014716408,0.18117180179683623,0.0011161329438349465,0.11509948740561105
LLY,large_healthcare,2025-01-21,False,,,,,,0.022915173896268515,0.015666464605644137,0.0843806829662559,0.16798006331245352,-0.004445342493433091,0.0994140230349565
