family_key,event_key,symbol,control_date,horizon_days,baseline_close,forward_close,directional_return,absolute_return,path_range,control_role
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-25,1,78.0,78.56,0.007179487179487243,0.007179487179487243,0.007820512820512882,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-26,1,78.56,78.6,0.0005091649694499711,0.0005091649694499711,0.008910386965376715,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-27,1,78.6,79.03,0.005470737913486179,0.005470737913486179,0.008587786259541819,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-28,1,79.03,79.29,0.003289889915222055,0.003289889915222055,0.004681766417816036,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-29,1,79.29,78.67,-0.0078193971497037,0.0078193971497037,0.006053726825577033,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-08,5,79.6,77.98,-0.020351758793969776,0.020351758793969776,0.09484924623115576,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-11,5,79.38,77.51,-0.02355757117661872,0.02355757117661872,0.09511211892164262,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-12,5,79.4,77.13,-0.02858942065491199,0.02858942065491199,0.048614609571788536,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-13,5,78.6,77.78,-0.010432569974554662,0.010432569974554662,0.04096564885496201,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-14,5,78.81,78.82,0.0001268874508308926,0.0001268874508308926,0.03933510975764509,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-15,5,77.98,78.0,0.0002564760194920801,0.0002564760194920801,0.039753783021287514,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-19,5,77.51,78.56,0.013546639143336314,0.013546639143336314,0.039994839375564584,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-21,5,77.78,79.03,0.01607096940087427,0.01607096940087427,0.016520956544098686,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-22,5,78.82,79.29,0.005962953565085138,0.005962953565085138,0.018396346105049477,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,HYG,2016-01-25,5,78.0,78.67,0.008589743589743515,0.008589743589743515,0.01628205128205118,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-08,1,55.9,54.97,-0.016636851520572482,0.016636851520572482,0.047227191413237946,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-11,1,54.97,54.98,0.0001819174094961351,0.0001819174094961351,0.04402401309805348,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-12,1,54.98,53.7,-0.023281193161149405,0.023281193161149405,0.053943252091669724,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-13,1,53.7,55.9,0.040968342644320144,0.040968342644320144,0.05996275605214163,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-14,1,55.9,54.49,-0.025223613595706573,0.025223613595706573,0.03005366726296954,pre_event_control
