symbol,release_date,horizon,event_trade_date,event_ret,event_abs,event_path,control_count,control_mean_ret,control_mean_abs,control_mean_path,surprise_sign,large_surprise_0_1pp,large_surprise_0_2pp,cpi_mom_surprise_pp,cpi_mom_abs_surprise_pp,cpi_mom_direction,cpi_mom_expectation_source,core_mom_surprise_pp,core_mom_abs_surprise_pp,core_mom_direction,core_mom_expectation_source,cpi_yoy_surprise_pp,cpi_yoy_abs_surprise_pp,cpi_yoy_direction,cpi_yoy_expectation_source,core_yoy_surprise_pp,core_yoy_abs_surprise_pp,core_yoy_direction,core_yoy_expectation_source,ret_delta,abs_delta,path_delta
TLT,2017-06-14,10,2017-06-14,0.02148893360160975,0.02148893360160975,0.032273641851106705,22,-0.004992260567605226,0.019327894885049966,0.03126506741992588,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.19999999999999996,0.19999999999999996,cooler,consensus,0.026481194169214975,0.0021610387165597843,0.0010085744311808253
TLT,2017-07-14,1,2017-07-14,-0.0013787510137874825,0.0013787510137874825,0.009975669099756557,22,-0.0012068673130484866,0.004922351671374573,0.008179414755035742,cooler,False,False,,,,,,,,,-0.09999999999999987,0.09999999999999987,cooler,consensus,0.0,0.0,inline,consensus,-0.00017188370073899597,-0.0035436006575870907,0.001796254344720815
TLT,2017-07-14,5,2017-07-14,0.0157339821573399,0.0157339821573399,0.02116788321167884,22,-0.004338674352855459,0.012498568167184683,0.021280162458457964,cooler,False,False,,,,,,,,,-0.09999999999999987,0.09999999999999987,cooler,consensus,0.0,0.0,inline,consensus,0.02007265651019536,0.003235413990155216,-0.00011227924677912476
TLT,2017-07-14,10,2017-07-14,-0.0003244120032440678,0.0003244120032440678,0.026034063260340634,22,0.0012460834943093801,0.013000139827139894,0.027740491663819755,cooler,False,False,,,,,,,,,-0.09999999999999987,0.09999999999999987,cooler,consensus,0.0,0.0,inline,consensus,-0.001570495497553448,-0.012675727823895826,-0.001706428403479121
TLT,2017-08-11,1,2017-08-11,-0.00047460844803037805,0.00047460844803037805,0.00862205347255185,22,0.0012826194628944752,0.004352967645170877,0.007970983855966174,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,-0.0017572279109248532,-0.003878359197140499,0.0006510696165856755
TLT,2017-08-11,5,2017-08-11,0.002768549280177224,0.002768549280177224,0.01779781680113912,22,0.0070144124469078495,0.0074857400195708435,0.01756170846345814,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,-0.004245863166730626,-0.00471719073939362,0.00023610833768098263
TLT,2017-08-11,10,2017-08-11,0.0030058535041923573,0.0030058535041923573,0.022227495649422502,22,0.011885180390414458,0.012835400217389352,0.024192713507999744,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,-0.0088793268862221,-0.009829546713196994,-0.0019652178585772423
TLT,2017-09-14,1,2017-09-14,0.0039525691699604515,0.0039525691699604515,0.009011857707509896,22,-0.0010581082061999077,0.00557841949544883,0.008357150240593808,hotter,False,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.09999999999999987,0.09999999999999987,hotter,consensus,0.00501067737616036,-0.0016258503254883783,0.0006547074669160883
TLT,2017-09-14,5,2017-09-14,-0.0039525691699604515,0.0039525691699604515,0.014387351778656132,22,-0.005425653535737914,0.009944866265988743,0.01976927179631329,hotter,False,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.09999999999999987,0.09999999999999987,hotter,consensus,0.0014730843657774625,-0.005992297096028292,-0.005381920017657159
TLT,2017-09-14,10,2017-09-14,-0.0122529644268774,0.0122529644268774,0.021027667984189757,22,-0.011557395355216353,0.012889805580193803,0.02651672558800433,hotter,False,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.09999999999999987,0.09999999999999987,hotter,consensus,-0.0006955690716610469,-0.0006368411533164038,-0.005489057603814573
TLT,2017-10-13,1,2017-10-13,0.007600000000000051,0.007600000000000051,0.010240000000000027,22,-0.0013295262339664876,0.00420309811171157,0.007686060827492952,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.008929526233966539,0.003396901888288481,0.0025539391725070745
TLT,2017-10-13,5,2017-10-13,0.0023999999999999577,0.0023999999999999577,0.011360000000000037,22,0.0007087818408198751,0.011636108935549571,0.018824920446028227,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0016912181591800827,-0.009236108935549613,-0.00746492044602819
TLT,2017-10-13,10,2017-10-13,-0.02079999999999993,0.02079999999999993,0.031120000000000037,22,0.005195513084217684,0.010642095219054354,0.026723340925773286,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.025995513084217613,0.010157904780945576,0.00439665907422675
TLT,2017-12-13,1,2017-12-13,0.008067705449655849,0.008067705449655849,0.012101558174483884,22,-0.001021398674969804,0.0050609191026232654,0.009577418670139372,cooler,True,False,,,,,,,,,0.0,0.0,inline,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.009089104124625652,0.0030067863470325832,0.0025241395043445122
TLT,2017-12-13,5,2017-12-13,-0.009649608479000316,0.009649608479000316,0.02780194574072614,22,0.0003960770501342954,0.009829058385607365,0.022691256270073786,cooler,True,False,,,,,,,,,0.0,0.0,inline,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.010045685529134612,-0.00017944990660704978,0.0051106894706523555
TLT,2017-12-13,10,2017-12-13,0.0017400933322786472,0.0017400933322786472,0.037451554219726346,22,-0.005203433290802392,0.01226609789053431,0.03035970747012418,cooler,True,False,,,,,,,,,0.0,0.0,inline,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.006943526623081039,-0.010526004558255662,0.007091846749602167
HYG,2016-01-20,1,2016-01-20,-0.00490259321377895,0.00490259321377895,0.02064249774222693,20,-0.0015236041836194647,0.00564970695787882,0.013117935743630505,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,-0.003378989030159485,-0.00074711374409987,0.007524561998596423
HYG,2016-01-20,5,2016-01-20,0.013546639143336314,0.013546639143336314,0.039994839375564584,20,-0.013002920736991785,0.016077976137645167,0.0446923962242141,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.0265495598803281,-0.0025313369943088526,-0.004697556848649517
HYG,2016-01-20,10,2016-01-20,0.004386530770223107,0.004386530770223107,0.046832666752677166,20,-0.017777932819655857,0.019165488334366404,0.05861530724765907,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.022164463589878964,-0.014778957564143297,-0.011782640494981907
HYG,2016-02-19,1,2016-02-19,0.001677635823977397,0.001677635823977397,0.008517228029423118,22,0.00047276032735002216,0.006510595132528299,0.009100270169299662,hotter,True,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.10000000000000009,0.10000000000000009,hotter,consensus,0.0012048754966273749,-0.004832959308550902,-0.0005830421398765433
HYG,2016-02-19,5,2016-02-19,0.015743966963479128,0.015743966963479128,0.021809265711704717,22,0.00728316353405832,0.01877252205757264,0.027252670346048998,hotter,True,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.10000000000000009,0.10000000000000009,hotter,consensus,0.008460803429420807,-0.003028555094093513,-0.005443404634344281
HYG,2016-02-19,10,2016-02-19,0.04065040650406515,0.04065040650406515,0.05123241708607551,22,0.020770914039577395,0.02461997544648995,0.03938410784800912,hotter,True,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.10000000000000009,0.10000000000000009,hotter,consensus,0.019879492464487756,0.0160304310575752,0.011848309238066387
HYG,2016-04-14,1,2016-04-14,-0.0010889292196007982,0.0010889292196007982,0.0027223230490018846,22,0.0010342703173764319,0.0034814991877094885,0.005849110621795692,cooler,True,True,,,,,,,,,-0.20000000000000007,0.20000000000000007,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.00212319953697723,-0.00239256996810869,-0.003126787572793807
HYG,2016-04-14,5,2016-04-14,0.009921355111917718,0.009921355111917718,0.018995765275257148,22,0.0023647962719783107,0.007976192480872814,0.014591658086481845,cooler,True,True,,,,,,,,,-0.20000000000000007,0.20000000000000007,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,0.007556558839939408,0.0019451626310449041,0.0044041071887753035
HYG,2016-04-14,10,2016-04-14,0.014519056261342866,0.014519056261342866,0.021536600120992122,22,0.00641232521430184,0.012986747650421874,0.022775244389826078,cooler,True,True,,,,,,,,,-0.20000000000000007,0.20000000000000007,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,0.008106731047041026,0.0015323086109209922,-0.0012386442688339556
HYG,2016-06-16,1,2016-06-16,0.00108472942027249,0.00108472942027249,0.008436784379896256,22,6.450676175133326e-05,0.005884425043359681,0.01377499942122623,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.0010202226585211568,-0.004799695623087191,-0.0053382150413299745
HYG,2016-06-16,5,2016-06-16,0.012052549114137667,0.012052549114137667,0.020081957333976108,22,0.0017265280356415806,0.010066248729379213,0.05569681334965822,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.010326021078496086,0.001986300384758454,-0.03561485601568211
HYG,2016-06-16,10,2016-06-16,0.014101482463541037,0.014101482463541037,0.0325418826081717,22,0.006443895008908785,0.012240909933264982,0.08468780137310257,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.007657587454632252,0.0018605725302760553,-0.05214591876493087
HYG,2016-08-16,1,2016-08-16,-0.001848428835489746,0.001848428835489746,0.0072781885397413815,22,0.00047745012900372234,0.0027894258082449023,0.0046268615746055015,cooler,False,False,,,,,,,,,-0.09999999999999998,0.09999999999999998,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.0023258789644934686,-0.0009409969727551563,0.00265132696513588
HYG,2016-08-16,5,2016-08-16,-0.0012707948243992906,0.0012707948243992906,0.007740295748613679,22,0.004561660766162636,0.005494287950185256,0.01153525280594561,cooler,False,False,,,,,,,,,-0.09999999999999998,0.09999999999999998,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.005832455590561927,-0.004223493125785965,-0.0037949570573319307
HYG,2016-08-16,10,2016-08-16,0.004967652495378783,0.004967652495378783,0.008433456561922403,22,0.004153138357902971,0.01012825740483788,0.01724964500023957,cooler,False,False,,,,,,,,,-0.09999999999999998,0.09999999999999998,cooler,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,0.0008145141374758117,-0.0051606049094590975,-0.008816188438317166
HYG,2016-10-18,1,2016-10-18,0.0040350472676966564,0.0040350472676966564,0.0034586119437400864,22,-0.0012689705031168467,0.003193076475756032,0.004996992753893295,cooler,False,False,,,,,,,,,0.0,0.0,inline,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,0.005304017770813503,0.0008419707919406242,-0.0015383808101532082
HYG,2016-10-18,5,2016-10-18,0.007839520405810596,0.007839520405810596,0.008531242794558525,22,-0.004803426152327534,0.007745248200615279,0.014064598138447544,cooler,False,False,,,,,,,,,0.0,0.0,inline,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,0.01264294655813813,9.427220519531675e-05,-0.00553335534388902
HYG,2016-10-18,10,2016-10-18,-0.008300668664975808,0.008300668664975808,0.01879179156098676,22,-0.009582343666315662,0.012062574804896298,0.022419565203181932,cooler,False,False,,,,,,,,,0.0,0.0,inline,consensus,-0.09999999999999964,0.09999999999999964,cooler,consensus,0.0012816750013398548,-0.0037619061399204907,-0.003627773642195173
HYG,2016-12-15,1,2016-12-15,0.002570393737586052,0.002570393737586052,0.005140787475172326,22,0.001172295248801005,0.0023952913326992734,0.00438335405997935,cooler,True,False,,,,,,,,,0.0,0.0,inline,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.001398098488785047,0.00017510240488677851,0.0007574334151929756
HYG,2016-12-15,5,2016-12-15,0.010632083187288144,0.010632083187288144,0.01074891926626953,22,0.004109121732251031,0.006423569535427326,0.011674822653938917,cooler,True,False,,,,,,,,,0.0,0.0,inline,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.006522961455037113,0.004208513651860818,-0.0009259033876693867
HYG,2016-12-15,10,2016-12-15,0.010865755345250472,0.010865755345250472,0.011216263582194186,22,0.006889581221894647,0.00701117999254619,0.015372368095193307,cooler,True,False,,,,,,,,,0.0,0.0,inline,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0039761741233558245,0.0038545753527042814,-0.004156104512999121
HYG,2017-01-18,1,2017-01-18,0.0009171156712139972,0.0009171156712139972,0.002636707554740436,22,0.0007180257640769491,0.0014146387554164045,0.003354038704587831,inline,False,False,,,,,,,,,0.0,0.0,inline,consensus,0.0,0.0,inline,consensus,0.00019908990713704805,-0.0004975230842024073,-0.0007173311498473948
HYG,2017-01-18,5,2017-01-18,0.0003439183767053322,0.0003439183767053322,0.0056173334861860935,22,0.0016499609726744015,0.003001858848670451,0.007073546166020017,inline,False,False,,,,,,,,,0.0,0.0,inline,consensus,0.0,0.0,inline,consensus,-0.0013060425959690693,-0.0026579404719651186,-0.0014562126798339237
HYG,2017-01-18,10,2017-01-18,0.0012610340479193294,0.0012610340479193294,0.00859795941763164,22,0.0027221556498959742,0.00362694734336124,0.008542541991066329,inline,False,False,,,,,,,,,0.0,0.0,inline,consensus,0.0,0.0,inline,consensus,-0.0014611216019766449,-0.002365913295441911,5.5417426565311165e-05
HYG,2017-02-15,1,2017-02-15,0.00034199726402195374,0.00034199726402195374,0.002279981760145988,22,0.00018736465247541002,0.0012229412444401172,0.0030058059729554817,hotter,True,False,,,,,,,,,0.10000000000000009,0.10000000000000009,hotter,consensus,0.19999999999999973,0.19999999999999973,hotter,consensus,0.00015463261154654372,-0.0008809439804181635,-0.0007258242128094935
HYG,2017-02-15,5,2017-02-15,0.0020519835841315004,0.0020519835841315004,0.0069539443684450974,22,-0.0018712330940807154,0.005534476151160988,0.008901607294188586,hotter,True,False,,,,,,,,,0.10000000000000009,0.10000000000000009,hotter,consensus,0.19999999999999973,0.19999999999999973,hotter,consensus,0.003923216678212216,-0.003482492567029488,-0.0019476629257434881
HYG,2017-02-15,10,2017-02-15,0.005813953488372103,0.005813953488372103,0.009803921568627527,22,-0.003677974156734386,0.009478794599133282,0.015415109121892524,hotter,True,False,,,,,,,,,0.10000000000000009,0.10000000000000009,hotter,consensus,0.19999999999999973,0.19999999999999973,hotter,consensus,0.00949192764510649,-0.0036648411107611783,-0.0056111875532649964
HYG,2017-03-15,1,2017-03-15,0.014051794216699554,0.014051794216699554,0.014051794216699554,22,-0.0004300368055647031,0.002606509211095615,0.0050112144745591055,inline,False,False,,,,,,,,,0.0,0.0,inline,consensus,0.0,0.0,inline,consensus,0.014481831022264257,0.011445285005603939,0.009040579742140448
HYG,2017-03-15,5,2017-03-15,0.0020903495528974414,0.0020903495528974414,0.016490535361746606,22,-0.0016996141311053697,0.009521164724812438,0.014608192174268913,inline,False,False,,,,,,,,,0.0,0.0,inline,consensus,0.0,0.0,inline,consensus,0.0037899636840028113,-0.0074308151719149965,0.001882343187477693
HYG,2017-03-15,10,2017-03-15,0.012890488909534259,0.012890488909534259,0.017535710138195326,22,-0.0021918817897125143,0.009606343821898955,0.019349943939212463,inline,False,False,,,,,,,,,0.0,0.0,inline,consensus,0.0,0.0,inline,consensus,0.015082370699246773,0.003284145087635304,-0.0018142338010171365
HYG,2017-04-14,1,2017-04-17,0.0027510316368639653,0.0027510316368639653,0.011462631820265856,22,0.00031398543452599746,0.0016646959535935818,0.002944173275632264,cooler,True,True,,,,,,,,,-0.20000000000000018,0.20000000000000018,cooler,consensus,-0.2999999999999998,0.2999999999999998,cooler,consensus,0.002437046202337968,0.0010863356832703835,0.008518458544633591
HYG,2017-04-14,5,2017-04-17,0.004241173773498419,0.004241173773498419,0.013869784502521632,22,-0.000177832401251097,0.00321733959907146,0.007754671053041658,cooler,True,True,,,,,,,,,-0.20000000000000018,0.20000000000000018,cooler,consensus,-0.2999999999999998,0.2999999999999998,cooler,consensus,0.004419006174749516,0.001023834174426959,0.006115113449479973
HYG,2017-04-14,10,2017-04-17,0.010087116001834096,0.010087116001834096,0.019944979367262694,22,0.0012346155849905455,0.0035708373241568818,0.011828990742259703,cooler,True,True,,,,,,,,,-0.20000000000000018,0.20000000000000018,cooler,consensus,-0.2999999999999998,0.2999999999999998,cooler,consensus,0.00885250041684355,0.006516278677677213,0.008115988625002991
HYG,2017-05-12,1,2017-05-12,-0.00034087035564145385,0.00034087035564145385,0.0018179752300874208,22,0.00014582389708332123,0.001507856488840528,0.003022360661607417,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.0004866942527247751,-0.0011669861331990742,-0.001204385431519996
HYG,2017-05-12,5,2017-05-12,0.0001136234518803736,0.0001136234518803736,0.012384956254970936,22,0.0010949215232051673,0.0035273572962497154,0.007466835842604693,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.0009812980713247938,-0.0034137338443693418,0.0049181204123662425
HYG,2017-05-12,10,2017-05-12,0.005794796045903716,0.005794796045903716,0.01687308260424958,22,0.0021168021792483875,0.003916663070641454,0.010549070833835984,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0036779938666553287,0.0018781329752622618,0.006324011770413595
HYG,2017-06-14,1,2017-06-14,0.0003385622390250642,0.0003385622390250642,0.0025392167926870934,22,2.330578228580556e-05,0.0018816143203937833,0.003109900277362551,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.19999999999999996,0.19999999999999996,cooler,consensus,0.00031525645673925864,-0.001543052081368719,-0.0005706834846754575
HYG,2017-06-14,5,2017-06-14,-0.005642703983748998,0.005642703983748998,0.00840762893578606,22,-0.000923623652913748,0.0035011649333210226,0.0077627994984161034,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.19999999999999996,0.19999999999999996,cooler,consensus,-0.00471908033083525,0.002141539050427975,0.0006448294373699566
HYG,2017-06-14,10,2017-06-14,-0.0035673174585262313,0.0035673174585262313,0.013824624760185089,22,-0.002162754994759521,0.0028643541065133267,0.010512966872804654,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,-0.19999999999999996,0.19999999999999996,cooler,consensus,-0.0014045624637667102,0.0007029633520129045,0.0033116578873804356
HYG,2017-07-14,1,2017-07-14,0.0032857466576023953,0.0032857466576023953,0.003625651484251091,22,-1.818087302401567e-05,0.0016131449454444508,0.0033273889532430267,cooler,False,False,,,,,,,,,-0.09999999999999987,0.09999999999999987,cooler,consensus,0.0,0.0,inline,consensus,0.0033039275306264108,0.0016726017121579445,0.00029826253100806444
HYG,2017-07-14,5,2017-07-14,0.00611828687967364,0.00611828687967364,0.006798096532970699,22,-9.754886224120049e-05,0.005010067221882963,0.007943182901797342,cooler,False,False,,,,,,,,,-0.09999999999999987,0.09999999999999987,cooler,consensus,0.0,0.0,inline,consensus,0.006215835741914841,0.0011082196577906767,-0.0011450863688266429
HYG,2017-07-14,10,2017-07-14,0.007251302968502182,0.007251302968502182,0.009404033537276146,22,-0.000702605651521607,0.007898059824218494,0.013100920228105732,cooler,False,False,,,,,,,,,-0.09999999999999987,0.09999999999999987,cooler,consensus,0.0,0.0,inline,consensus,0.00795390862002379,-0.0006467568557163121,-0.003696886690829586
HYG,2017-08-11,1,2017-08-11,0.0017205781142461962,0.0017205781142461962,0.0034411562284928365,22,-0.00038821255430742714,0.0015367937126337257,0.0030736738368263394,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.002108790668553623,0.00018378440161247048,0.0003674823916664971
HYG,2017-08-11,5,2017-08-11,0.0018352833218626685,0.0018352833218626685,0.009176416609314009,22,-0.001735636573938089,0.005458408047372036,0.008760989438310496,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.0035709198958007574,-0.003623124725509367,0.0004154271710035129
HYG,2017-08-11,10,2017-08-11,0.010094058270245343,0.010094058270245343,0.010323468685478288,22,-0.0037320362579577253,0.00811261326032227,0.014078363627228857,cooler,True,False,,,,,,,,,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0,0.0,inline,consensus,0.013826094528203069,0.001981445009923073,-0.00375489494175057
HYG,2017-09-14,1,2017-09-14,0.0017026106696935717,0.0017026106696935717,0.002383654937570867,22,0.0001446634978717483,0.0011320551874097146,0.002619523272516673,hotter,False,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.09999999999999987,0.09999999999999987,hotter,consensus,0.0015579471718218233,0.0005705554822838571,-0.0002358683349458061
HYG,2017-09-14,5,2017-09-14,0.0039727582292850006,0.0039727582292850006,0.004199772985244099,22,0.00018371635439153172,0.0022683435159651,0.0060183550688184765,hotter,False,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.09999999999999987,0.09999999999999987,hotter,consensus,0.003789041874893469,0.0017044147133199006,-0.0018185820835743775
HYG,2017-09-14,10,2017-09-14,0.005448354143019252,0.005448354143019252,0.005902383654937671,22,0.0006226790622926808,0.002357418852142952,0.007385287944667307,hotter,False,False,,,,,,,,,0.09999999999999987,0.09999999999999987,hotter,consensus,0.09999999999999987,0.09999999999999987,hotter,consensus,0.004825675080726571,0.0030909352908762996,-0.0014829042897296363
HYG,2017-10-13,1,2017-10-13,0.0006795786612299182,0.0006795786612299182,0.0016989466530751285,22,-5.0449117391160314e-05,0.001057931529732487,0.002032982287516633,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.0007300277786210785,-0.0003783528685025689,-0.00033403563444150443
HYG,2017-10-13,5,2017-10-13,0.0036244195265602297,0.0036244195265602297,0.004417261297995245,22,-0.0019135618846470202,0.002232292244036351,0.004795625497391881,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.00553798141120725,0.0013921272825238788,-0.00037836419939663544
HYG,2017-10-13,10,2017-10-13,-0.0006795786612300292,0.0006795786612300292,0.006229471061275249,22,-0.004595061963443634,0.00554091436576161,0.008547103325238144,cooler,True,False,,,,,,,,,-0.09999999999999964,0.09999999999999964,cooler,consensus,-0.10000000000000009,0.10000000000000009,cooler,consensus,0.003915483302213605,-0.004861335704531581,-0.002317632263962895
