subset,n,event_dates,symbols,mean_event_ret,mean_control_ret,mean_ret_delta,median_ret_delta,mean_abs_delta,mean_path_delta,positive_ret_delta_share,positive_abs_delta_share,corr_cpi_mom_event_ret,corr_core_mom_event_ret,corr_cpi_yoy_event_ret,corr_core_yoy_event_ret
abnormal_core_yoy_h5,408,34,12,-0.0026172341923767777,0.0039160193740246,-0.006533253566401378,-0.003511288813752163,0.0024939474072669513,0.002779671168008164,0.44362745098039214,0.49264705882352944,-0.05031479142732686,-0.10879440028805948,-0.06291260406334781,-0.08826257723157956
all_h10,1559,130,12,-3.4085586114554865e-07,0.005483945433596788,-0.005484286289457934,-0.0010958961636113578,-0.0021919464606557646,-0.0029136990176797887,0.477228992944195,0.4477228992944195,-0.044895560960290445,-0.07361432300258633,-0.08175814512161195,-0.05241474026766764
abnormal_any_h10,528,44,12,-0.0021026736496860174,0.008397302757777947,-0.010499976407463965,-0.004207685325945595,0.0004665518665257797,0.0010804693367871619,0.42234848484848486,0.4791666666666667,-0.017707491223783057,-0.08857526939430674,-0.08578900165646076,-0.09386000578112577
normal_h10,1031,86,12,0.0010763145419463542,0.003991944786489463,-0.0029156302445431086,0.00025185416814096657,-0.003553427660221095,-0.004959209096398072,0.5053346265761397,0.43161978661493694,-0.07322507688257952,-0.03693785889356849,-0.08115057137512366,0.03484267718765971
abnormal_cpi_mom_h10,216,18,12,-0.0012192074198698452,0.013901785791914792,-0.015120993211784638,-0.005979264869699618,-0.006317964864054753,0.0002240187441838674,0.4074074074074074,0.4398148148148148,-0.11830389384177951,-0.14968249779225,-0.2369370808904282,-0.24222908750211694
abnormal_core_mom_h10,216,18,12,-0.005622147612343791,0.013696380610634842,-0.019318528222978634,-0.008652961910727187,-0.005258820650399844,-0.0025776282098027205,0.38425925925925924,0.42592592592592593,-0.07357721813338068,-0.02362297817725032,0.023957223156691285,0.029647144812417207
abnormal_cpi_yoy_h10,324,27,12,-0.0029189339609108226,0.006451855654717109,-0.009370789615627931,-0.002499877658035665,0.0054687914506646555,0.006494676673013225,0.44135802469135804,0.5185185185185185,-0.021101007399491944,-0.07682133054340393,-0.07984496998617402,-0.08572486711157665
abnormal_core_yoy_h10,408,34,12,-0.0023376658379449557,0.006285939697861268,-0.008623605535806224,-0.0030999272453773093,0.00338531675544985,0.003387618427301362,0.42892156862745096,0.49019607843137253,-0.04143493804068973,-0.09285579623732271,-0.10794922389415976,-0.11560444836471402
abnormal_any_HYG_h1,44,44,1,0.0003906704363924899,4.7578291503964024e-05,0.0003430921448885258,0.0005024993225161525,0.001267428494582895,0.002317380069781883,0.5454545454545454,0.4772727272727273,0.01749770694578039,-0.052918710426154036,-0.017739105004095694,0.007369061115509665
abnormal_any_TLT_h1,44,44,1,0.0005018988942647033,-0.0005763169582440361,0.0010782158525087394,0.0005359944277695311,2.5943741589720916e-07,0.003106255064457911,0.5681818181818182,0.4772727272727273,-0.21559698112540626,-0.3463576516697448,-0.01601050834254398,-0.010800774999110812
abnormal_any_XLB_h1,44,44,1,0.0023073416220019028,0.0009151362860716166,0.001392205335930286,0.0018777285975622095,0.0007985317658720327,0.0027388119699626517,0.5909090909090909,0.4772727272727273,0.15322442435995076,0.06654111354519805,0.06591619323378828,0.08505440941977001
abnormal_any_XLE_h1,44,44,1,0.003267025082096982,0.0018367796150785937,0.0014302454670183887,0.0022380549577266525,-0.0013035496473023677,0.0005314387707322799,0.5454545454545454,0.3181818181818182,0.19090069840113297,0.11617100355462194,0.12228562180656556,0.1059422065033031
abnormal_any_XLF_h1,44,44,1,-0.002504921997634668,0.0008473291408700425,-0.0033522511385047104,-0.0037590718151455345,0.003032881482766059,0.005652889621299085,0.4090909090909091,0.6136363636363636,0.16286590297093834,0.218424555486153,0.15081258896046623,0.15168601882368538
abnormal_any_XLI_h1,44,44,1,-0.0012990346723957774,0.0009959136661242727,-0.0022949483385200503,-0.0024962952752547326,0.0022258821338606936,0.0035619370491671433,0.45454545454545453,0.45454545454545453,0.1964866122693395,0.15358527345452158,0.06218016703871632,0.06212118365558436
abnormal_any_XLK_h1,44,44,1,0.001806579149663138,0.0012575098232051514,0.0005490693264579867,0.00220445487364917,0.0021426747443599866,0.003709224497972995,0.6136363636363636,0.45454545454545453,0.04480012062497683,-0.01596270962328154,-0.02022276349869673,0.004535055749462689
abnormal_any_XLP_h1,44,44,1,-0.0002480158613109775,0.00041668852172207496,-0.0006647043830330524,-0.0013292379021148887,0.00021665179371472963,0.0007983301604541763,0.45454545454545453,0.38636363636363635,0.2399478278728017,0.1388363502379889,0.038230603192639254,0.03340326745251264
abnormal_any_XLU_h1,44,44,1,0.000844565482927586,0.000422645016514359,0.000421920466413227,0.00034327229797792824,0.0006666243158287035,0.0005581960235183426,0.5227272727272727,0.4318181818181818,0.26799463375812327,0.17231158100969607,0.14497544098244516,0.16075909499572263
abnormal_any_XLV_h1,44,44,1,0.0009562836697104056,0.00044409328833027226,0.0005121903813801331,-0.0008370318701540026,0.00048065642192520727,0.0011781962369251313,0.45454545454545453,0.38636363636363635,0.06891090663864359,0.10388997675024084,-0.11922434029743328,-0.09343763160094416
abnormal_any_XLY_h1,44,44,1,-0.0005566753474907118,0.000623786125370201,-0.001180461472860913,0.0005039162795159919,0.0009405579572534594,0.003846614789084656,0.5454545454545454,0.4090909090909091,0.14058653392247422,0.007458115691242391,0.0020272580978247796,0.007085140707346727
abnormal_any_XOP_h1,44,44,1,0.005851076777901373,0.005507853982709793,0.0003432227951915797,0.004181508794614609,-0.005234613697501807,-3.033707926864546e-05,0.5909090909090909,0.3181818181818182,0.048998957478340856,-0.02199017577311691,-0.029445792441554944,-0.03374195080455254
abnormal_any_HYG_h5,44,44,1,-0.0014987805882853574,-0.0001152916057144291,-0.0013834889825709283,-0.0014547802128485458,-0.000746585658398688,0.0007918094140992433,0.38636363636363635,0.3409090909090909,-0.024394177017203398,-0.15228762680723024,-0.209031922551692,-0.22387573159819965
abnormal_any_TLT_h5,44,44,1,-0.005620564666463762,-0.002219336059292703,-0.0034012286071710596,-0.004078518793072242,0.00020562734073825535,9.413635683976914e-05,0.38636363636363635,0.4318181818181818,-0.2279055738798202,-0.19250522444482535,-0.19741984067496515,-0.19274534306630892
abnormal_any_XLB_h5,44,44,1,-0.0011027082854106196,0.004098518073485932,-0.005201226358896552,0.0007169648651088353,0.004719954222345308,0.004243458851168681,0.5,0.5,0.00782310182568557,-0.07013073521308692,-0.09576666935033878,-0.11324145471476799
abnormal_any_XLE_h5,44,44,1,-0.006157378041996589,0.011352023974973969,-0.017509402016970557,-0.013625934082726155,-0.002097089086865672,-0.001803487464355033,0.36363636363636365,0.38636363636363635,-0.049368614893025055,-0.08902929906143658,0.00518228160176645,-0.028187870636864842
abnormal_any_XLF_h5,44,44,1,-0.0032860813834125428,0.004161062051447405,-0.007447143434859947,-0.006054752992848655,0.001820291978919923,0.0037153383814311452,0.45454545454545453,0.5,-0.0018763000791888955,-0.07291109216798512,0.007329501709984971,-0.024955195381506656
abnormal_any_XLI_h5,44,44,1,-0.0013542525091610293,0.004435830686350113,-0.005790083195511142,-0.010516489728974237,0.00269486865956802,0.0025401615099134795,0.4090909090909091,0.5454545454545454,-0.039232978326933426,-0.13166627732320843,-0.10715578223767926,-0.1258161834972741
abnormal_any_XLK_h5,44,44,1,0.004951473119604596,0.006234012531778676,-0.0012825394121740807,-0.0012653772651760164,0.0011956571407619732,0.001932264289303847,0.4772727272727273,0.4318181818181818,-0.03391937215873109,-0.1791981917813311,-0.21804587013282264,-0.2132057773879234
