release_date,is_abnormal,abnormal_metrics,cpi_mom,cpi_mom_zscore,cpi_mom_abnormal,core_mom,core_mom_zscore,core_mom_abnormal,cpi_yoy,cpi_yoy_zscore,cpi_yoy_abnormal,core_yoy,core_yoy_zscore,core_yoy_abnormal
2017-07-14,False,,0.0006516286618252209,,False,0.0012568110408464062,,False,0.01640565809959127,,False,0.01699119334249022,,False
2017-08-11,False,,0.0003276499715354486,,False,0.0009493696026947607,,False,0.017251073506566073,,False,0.016769627444729984,,False
2017-09-14,False,,0.0038486261632881824,,False,0.002182669603349341,,False,0.0192812155729698,,False,0.016552412618799472,,False
2017-10-13,False,,0.005106389920997767,,False,0.0010968776605224662,,False,0.021805652303711787,,False,0.015953898457655935,,False
2017-11-15,False,,0.0007750522450138408,,False,0.0028242330269132587,,False,0.02020757753132485,,False,0.017596390813271245,,False
2017-12-13,False,,0.002668007428251684,0.5607265463619863,False,0.0011438669012251435,-0.7463930870595448,False,0.02172493864295566,0.8648721727316044,False,0.017376072726981162,-1.383089692993783,False
2018-01-12,False,,0.0021068892447551058,0.2320122952305198,False,0.0020802471081413643,0.6780820305191423,False,0.021299307195522532,0.7639235976998154,False,0.01770166453265043,-1.1671448750763196,False
2018-02-14,True,core_mom,0.004253344363511546,1.4507975034905911,False,0.0033812474444061547,2.6274116718827556,True,0.02151318868063945,0.7768416431217523,False,0.018912671130328462,-0.6018606570781917,False
2018-03-13,False,,0.0026922876006090224,0.4978494159916019,False,0.001986645977335888,0.38212164643207536,False,0.02263468931091861,0.9443003060342103,False,0.0187770420481439,-0.6449344685229694,False
2018-04-11,False,,0.000192362410782021,-0.9313371256239308,False,0.0021899722733866867,0.6584006834462731,False,0.023309497646499366,1.0276899490488733,False,0.021227843662331214,0.43529541591990917,False
2018-05-10,False,,0.002604406656061986,0.47031382309386055,False,0.001400860807504456,-0.471804095513002,False,0.024709963021052994,1.2301411674281824,False,0.02150644636125887,0.5490232634905596,False
2018-06-12,True,cpi_yoy,0.002257949781598212,0.26100090590372693,False,0.0020067801893777215,0.40461364582845627,False,0.02781921607842497,1.704935315161833,True,0.02272998448872432,1.082396442739211,False
2018-07-12,True,cpi_yoy,0.0009011451720948305,-0.5377015960440156,False,0.000987769546364925,-1.0809205833569686,False,0.028075506935940187,1.645758978979934,True,0.022455173071270318,0.9230159564110204,False
2018-08-10,True,cpi_yoy,0.0007808204989283585,-0.598093909495488,False,0.0011655056934953834,-0.7877431407598183,False,0.02854124785561929,1.629902842731002,True,0.02267595293370639,0.9950741621437041,False
2018-09-13,False,,0.0017873207703393845,0.016064289847400486,False,0.0007450552776688824,-1.3807711607097346,False,0.026429238568742575,1.2138016382639447,False,0.021208941334864617,0.31092541340014157,False
2018-10-11,False,,0.002062281702117419,0.18271742877181307,False,0.0018496186373311296,0.26497863779160563,False,0.02332055105808828,0.6876425567454234,False,0.021976804898501623,0.6531626873690342,False
2018-11-14,False,,0.002339580144498754,0.3506882421509393,False,0.00212487614565271,0.6621828032419914,False,0.02492032470218053,0.9237576123885594,False,0.02126409125691242,0.3148094926189816,False
2018-12-12,True,cpi_mom,-0.0007041919199911595,-1.5516811783112114,True,0.002016090098371448,0.4891101721260475,False,0.02147328577667773,0.3591044569789002,False,0.022153843729315836,0.7209847567034681,False
2019-01-11,False,,0.0006848935445813442,-0.6326902368825081,False,0.0024051896592260924,1.0587409897112388,False,0.020023809043401064,0.12332207691132918,False,0.022485295505299874,0.8603722951708744,False
2019-02-11,True,cpi_mom,-0.0008149798035343991,-1.5467180899580506,True,0.00270319114983697,1.4716612859502878,False,0.014875893578291333,-0.7070060201000674,False,0.021794329242488475,0.5183063095377144,False
2019-02-13,False,,-0.0008149798035343991,-1.4819822103246836,False,0.00270319114983697,1.4139415364243033,False,0.014875893578291333,-0.6934531824599415,False,0.021794329242488475,0.5098651822878858,False
2019-03-12,False,,0.003001255142321968,0.8589591916096336,False,0.0016106394238510902,-0.21682436952802514,False,0.015188615351321877,-0.6296373740984627,False,0.021410889637129227,0.3194182798695173,False
