control_abs_fwd_10d,control_abs_fwd_14d,control_abs_fwd_1d,control_abs_fwd_5d,control_date,control_directional_fwd_10d,control_directional_fwd_14d,control_directional_fwd_1d,control_directional_fwd_5d,control_fwd_10d,control_fwd_14d,control_fwd_1d,control_fwd_5d,control_mae_10d,control_mae_14d,control_mae_1d,control_mae_5d,control_mfe_10d,control_mfe_14d,control_mfe_1d,control_mfe_5d,control_path_range_10d,control_path_range_14d,control_path_range_1d,control_path_range_5d,control_prior_1d_return,direction_hypothesis,direction_sign,event_count,event_date,event_prior_1d_return,match_score,symbol
0.04927694406548433,0.008894952251023214,0.014897680763983567,0.008349249658935909,2026-04-20,,,,,0.04927694406548433,-0.008894952251023214,0.014897680763983567,0.008349249658935909,-0.0049658935879944854,-0.020300136425647985,-0.0049658935879944854,-0.0049658935879944854,0.059372442019099525,0.059372442019099525,0.017025920873124267,0.03366984993178712,0.0643383356070941,0.07967257844474758,0.021991814461118697,0.038635743519781635,-0.004021957715093283,bearish_activity_or_call_selling,0,3,2026-04-17,-0.022110018602179093,0.024491067641009938,CVX
0.02742492692001064,0.01589157587031631,0.022110018602179093,0.002923199574807356,2026-04-16,0.02742492692001064,-0.01589157587031631,-0.022110018602179093,-0.002923199574807356,0.02742492692001064,-0.01589157587031631,-0.022110018602179093,-0.002923199574807356,-0.05532819558862612,-0.05532819558862612,-0.05532819558862612,-0.05532819558862612,0.0317831517406324,0.0317831517406324,-0.02046239702365127,0.006749933563645838,0.0871113473292585,0.0871113473292585,0.034865798564974765,0.062078129152272,0.0175220377480938,bullish_activity,1,3,2026-04-17,-0.022110018602179093,0.00882379172742971,CVX
0.035810302183030496,0.006667383589633147,0.001828153564899404,0.012797074954296273,2026-04-21,0.035810302183030496,-0.006667383589633147,0.001828153564899404,0.012797074954296273,0.035810302183030496,-0.006667383589633147,0.001828153564899404,0.012797074954296273,-0.014947843854177911,-0.03468114851059245,0.0007527691149586957,-0.014947843854177911,0.04382191633508992,0.04382191633508992,0.018496612538982715,0.02140015055382305,0.0587697601892677,0.0785030648456823,0.017743843424024,0.03634799440800097,0.014897680763983567,bullish_activity,1,3,2026-04-17,-0.022110018602179093,0.01628811111260043,CVX
0.04927694406548433,0.008894952251023214,0.014897680763983567,0.008349249658935909,2026-04-20,0.04927694406548433,-0.008894952251023214,0.014897680763983567,0.008349249658935909,0.04927694406548433,-0.008894952251023214,0.014897680763983567,0.008349249658935909,-0.0049658935879944854,-0.020300136425647985,-0.0049658935879944854,-0.0049658935879944854,0.059372442019099525,0.059372442019099525,0.017025920873124267,0.03366984993178712,0.0643383356070941,0.07967257844474758,0.021991814461118697,0.038635743519781635,-0.004021957715093283,bullish_activity,1,3,2026-04-17,-0.022110018602179093,0.024491067641009938,CVX
0.02742492692001064,0.01589157587031631,0.022110018602179093,0.002923199574807356,2026-04-16,,,,,0.02742492692001064,-0.01589157587031631,-0.022110018602179093,-0.002923199574807356,-0.05532819558862612,-0.05532819558862612,-0.05532819558862612,-0.05532819558862612,0.0317831517406324,0.0317831517406324,-0.02046239702365127,0.006749933563645838,0.0871113473292585,0.0871113473292585,0.034865798564974765,0.062078129152272,0.0175220377480938,bullish_activity_or_put_selling,0,2,2026-04-17,-0.022110018602179093,0.00882379172742971,CVX
0.035810302183030496,0.006667383589633147,0.001828153564899404,0.012797074954296273,2026-04-21,,,,,0.035810302183030496,-0.006667383589633147,0.001828153564899404,0.012797074954296273,-0.014947843854177911,-0.03468114851059245,0.0007527691149586957,-0.014947843854177911,0.04382191633508992,0.04382191633508992,0.018496612538982715,0.02140015055382305,0.0587697601892677,0.0785030648456823,0.017743843424024,0.03634799440800097,0.014897680763983567,bullish_activity_or_put_selling,0,2,2026-04-17,-0.022110018602179093,0.01628811111260043,CVX
0.04927694406548433,0.008894952251023214,0.014897680763983567,0.008349249658935909,2026-04-20,,,,,0.04927694406548433,-0.008894952251023214,0.014897680763983567,0.008349249658935909,-0.0049658935879944854,-0.020300136425647985,-0.0049658935879944854,-0.0049658935879944854,0.059372442019099525,0.059372442019099525,0.017025920873124267,0.03366984993178712,0.0643383356070941,0.07967257844474758,0.021991814461118697,0.038635743519781635,-0.004021957715093283,bullish_activity_or_put_selling,0,2,2026-04-17,-0.022110018602179093,0.024491067641009938,CVX
0.02742492692001064,0.01589157587031631,0.022110018602179093,0.002923199574807356,2026-04-16,,,,,0.02742492692001064,-0.01589157587031631,-0.022110018602179093,-0.002923199574807356,-0.05532819558862612,-0.05532819558862612,-0.05532819558862612,-0.05532819558862612,0.0317831517406324,0.0317831517406324,-0.02046239702365127,0.006749933563645838,0.0871113473292585,0.0871113473292585,0.034865798564974765,0.062078129152272,0.0175220377480938,mixed_or_conflicting_activity,0,8,2026-04-17,-0.022110018602179093,0.00882379172742971,CVX
0.035810302183030496,0.006667383589633147,0.001828153564899404,0.012797074954296273,2026-04-21,,,,,0.035810302183030496,-0.006667383589633147,0.001828153564899404,0.012797074954296273,-0.014947843854177911,-0.03468114851059245,0.0007527691149586957,-0.014947843854177911,0.04382191633508992,0.04382191633508992,0.018496612538982715,0.02140015055382305,0.0587697601892677,0.0785030648456823,0.017743843424024,0.03634799440800097,0.014897680763983567,mixed_or_conflicting_activity,0,8,2026-04-17,-0.022110018602179093,0.01628811111260043,CVX
0.04927694406548433,0.008894952251023214,0.014897680763983567,0.008349249658935909,2026-04-20,,,,,0.04927694406548433,-0.008894952251023214,0.014897680763983567,0.008349249658935909,-0.0049658935879944854,-0.020300136425647985,-0.0049658935879944854,-0.0049658935879944854,0.059372442019099525,0.059372442019099525,0.017025920873124267,0.03366984993178712,0.0643383356070941,0.07967257844474758,0.021991814461118697,0.038635743519781635,-0.004021957715093283,mixed_or_conflicting_activity,0,8,2026-04-17,-0.022110018602179093,0.024491067641009938,CVX
