direction_hypothesis,direction_sign,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_base_close,event_count,event_date,event_fwd_10d,event_fwd_14d,event_fwd_1d,event_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,event_prior_1d_abs_return,event_prior_1d_return,matched_control_count,symbol
mixed_or_conflicting_activity,0,0.30873177884477165,0.2929472988125701,0.03789425260918322,0.03660044277047825,347.81,2,2026-04-24,0.30873177884477165,0.2929472988125701,-0.03789425260918322,0.03660044277047825,-0.10870877778097232,-0.10870877778097232,-0.054627526523101655,-0.10870877778097232,0.3118944251171618,0.3490555188177453,0.0040251861648601395,0.04306949196400334,0.4206032028981341,0.4577642965987176,0.05865271268796175,0.15177826974497577,0.1391281564209217,0.1391281564209217,3,AMD
bearish_activity,-1,,,0.05269872968325284,0.2625228823431518,360.54,4,2026-05-01,,,-0.05269872968325284,0.2625228823431518,,,-0.060575802962223424,-0.060575802962223424,,,0.003633438730792804,0.2655738614300771,,,0.06420924169301612,0.32614966439230053,0.017066771982284346,0.017066771982284346,3,AMD
bearish_activity_or_call_selling,0,,,0.05269872968325284,0.2625228823431518,360.54,4,2026-05-01,,,-0.05269872968325284,0.2625228823431518,,,-0.060575802962223424,-0.060575802962223424,,,0.003633438730792804,0.2655738614300771,,,0.06420924169301612,0.32614966439230053,0.017066771982284346,0.017066771982284346,3,AMD
bullish_activity,1,,,0.05269872968325284,0.2625228823431518,360.54,7,2026-05-01,,,-0.05269872968325284,0.2625228823431518,,,-0.060575802962223424,-0.060575802962223424,,,0.003633438730792804,0.2655738614300771,,,0.06420924169301612,0.32614966439230053,0.017066771982284346,0.017066771982284346,3,AMD
bullish_activity_or_put_selling,0,,,0.05269872968325284,0.2625228823431518,360.54,5,2026-05-01,,,-0.05269872968325284,0.2625228823431518,,,-0.060575802962223424,-0.060575802962223424,,,0.003633438730792804,0.2655738614300771,,,0.06420924169301612,0.32614966439230053,0.017066771982284346,0.017066771982284346,3,AMD
mixed_or_conflicting_activity,0,,,0.05269872968325284,0.2625228823431518,360.54,3,2026-05-01,,,-0.05269872968325284,0.2625228823431518,,,-0.060575802962223424,-0.060575802962223424,,,0.003633438730792804,0.2655738614300771,,,0.06420924169301612,0.32614966439230053,0.017066771982284346,0.017066771982284346,3,AMD
bearish_activity,-1,0.07308680269471246,0.0647991082246886,0.025687006252120392,0.03179372849319051,206.33,3,2026-04-17,-0.07308680269471246,-0.0647991082246886,0.025687006252120392,-0.03179372849319051,-0.13914602820724087,-0.13914602820724087,-0.030582077254882933,-0.06019483351911992,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.16808025977802551,0.16808025977802551,0.05951630882566762,0.08912906508990459,0.03255348429876159,0.03255348429876159,3,COIN
bearish_activity_or_call_selling,0,0.07308680269471246,0.0647991082246886,0.025687006252120392,0.03179372849319051,206.33,2,2026-04-17,-0.07308680269471246,-0.0647991082246886,0.025687006252120392,-0.03179372849319051,-0.13914602820724087,-0.13914602820724087,-0.030582077254882933,-0.06019483351911992,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.16808025977802551,0.16808025977802551,0.05951630882566762,0.08912906508990459,0.03255348429876159,0.03255348429876159,3,COIN
bullish_activity,1,0.07308680269471246,0.0647991082246886,0.025687006252120392,0.03179372849319051,206.33,9,2026-04-17,-0.07308680269471246,-0.0647991082246886,0.025687006252120392,-0.03179372849319051,-0.13914602820724087,-0.13914602820724087,-0.030582077254882933,-0.06019483351911992,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.16808025977802551,0.16808025977802551,0.05951630882566762,0.08912906508990459,0.03255348429876159,0.03255348429876159,3,COIN
bullish_activity_or_put_selling,0,0.07308680269471246,0.0647991082246886,0.025687006252120392,0.03179372849319051,206.33,5,2026-04-17,-0.07308680269471246,-0.0647991082246886,0.025687006252120392,-0.03179372849319051,-0.13914602820724087,-0.13914602820724087,-0.030582077254882933,-0.06019483351911992,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.16808025977802551,0.16808025977802551,0.05951630882566762,0.08912906508990459,0.03255348429876159,0.03255348429876159,3,COIN
mixed_or_conflicting_activity,0,0.07308680269471246,0.0647991082246886,0.025687006252120392,0.03179372849319051,206.33,3,2026-04-17,-0.07308680269471246,-0.0647991082246886,0.025687006252120392,-0.03179372849319051,-0.13914602820724087,-0.13914602820724087,-0.030582077254882933,-0.06019483351911992,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.028934231570784563,0.16808025977802551,0.16808025977802551,0.05951630882566762,0.08912906508990459,0.03255348429876159,0.03255348429876159,3,COIN
bearish_activity,-1,0.0069580017019572615,0.06127046103018463,0.015467787956149559,0.042649046403363866,199.77,2,2026-04-24,0.0069580017019572615,0.06127046103018463,-0.015467787956149559,-0.042649046403363866,-0.11087750913550587,-0.11087750913550587,-0.022626019922911356,-0.11087750913550587,0.04560244280923054,0.11303999599539472,0.02362717124693403,0.02362717124693403,0.1564799519447364,0.22391750513090053,0.046253191169845366,0.13450468038243982,0.009296215833880739,0.009296215833880739,3,COIN
bearish_activity_or_call_selling,0,0.0069580017019572615,0.06127046103018463,0.015467787956149559,0.042649046403363866,199.77,4,2026-04-24,0.0069580017019572615,0.06127046103018463,-0.015467787956149559,-0.042649046403363866,-0.11087750913550587,-0.11087750913550587,-0.022626019922911356,-0.11087750913550587,0.04560244280923054,0.11303999599539472,0.02362717124693403,0.02362717124693403,0.1564799519447364,0.22391750513090053,0.046253191169845366,0.13450468038243982,0.009296215833880739,0.009296215833880739,3,COIN
bullish_activity,1,0.0069580017019572615,0.06127046103018463,0.015467787956149559,0.042649046403363866,199.77,5,2026-04-24,0.0069580017019572615,0.06127046103018463,-0.015467787956149559,-0.042649046403363866,-0.11087750913550587,-0.11087750913550587,-0.022626019922911356,-0.11087750913550587,0.04560244280923054,0.11303999599539472,0.02362717124693403,0.02362717124693403,0.1564799519447364,0.22391750513090053,0.046253191169845366,0.13450468038243982,0.009296215833880739,0.009296215833880739,3,COIN
mixed_or_conflicting_activity,0,0.0069580017019572615,0.06127046103018463,0.015467787956149559,0.042649046403363866,199.77,11,2026-04-24,0.0069580017019572615,0.06127046103018463,-0.015467787956149559,-0.042649046403363866,-0.11087750913550587,-0.11087750913550587,-0.022626019922911356,-0.11087750913550587,0.04560244280923054,0.11303999599539472,0.02362717124693403,0.02362717124693403,0.1564799519447364,0.22391750513090053,0.046253191169845366,0.13450468038243982,0.009296215833880739,0.009296215833880739,3,COIN
bearish_activity,-1,,,0.061385620915032746,0.05181699346405222,191.25,2,2026-05-01,,,0.061385620915032746,0.05181699346405222,,,0.034524967320261446,-0.044183006535947644,,,0.0808366013071895,0.09218300653594769,,,0.04631163398692812,0.13636601307189533,0.018533312030675875,0.018533312030675875,3,COIN
bearish_activity_or_call_selling,0,,,0.061385620915032746,0.05181699346405222,191.25,1,2026-05-01,,,0.061385620915032746,0.05181699346405222,,,0.034524967320261446,-0.044183006535947644,,,0.0808366013071895,0.09218300653594769,,,0.04631163398692812,0.13636601307189533,0.018533312030675875,0.018533312030675875,3,COIN
