subset,n,release_dates,symbols,mean_ret_delta,median_ret_delta,positive_ret_delta_share,mean_abs_delta,positive_abs_delta_share,mean_path_delta,corr_cpi_mom_surprise_ret,corr_core_mom_surprise_ret,corr_cpi_yoy_surprise_ret,corr_core_yoy_surprise_ret
large_surprise_0_1pp_XLI_h5,94,94,1,-0.002092659189527359,-0.0009507304258883457,0.48936170212765956,0.0002234750691551617,0.44680851063829785,-0.000235434911778613,-0.13129295855261486,-0.1945748043472761,-0.2612517092146029,-0.1680055613133055
large_surprise_0_1pp_XLP_h5,94,94,1,-0.0005730617513798067,0.0009499224720585988,0.5425531914893617,0.0006932553681697429,0.44680851063829785,0.0007414255355220564,-0.0019145017015833694,-0.08588999658821533,-0.06454838831824082,0.006428292976887778
large_surprise_0_1pp_XLV_h5,94,94,1,-0.0003704564398918293,0.001645511530440364,0.5425531914893617,0.0017517713620111336,0.5,0.0003927284670204195,-0.018683371517163542,-0.027986119918185105,-0.1354986453148009,0.02067054638193875
large_surprise_0_1pp_XLU_h5,94,94,1,-0.001137204511952092,-0.000976560172772279,0.46808510638297873,7.781951289538311e-05,0.4574468085106383,0.0005765418735175652,-0.05712813527126728,-0.04749689883677225,-0.12335387634368336,-0.0385736811156603
large_surprise_0_1pp_XLB_h5,94,94,1,-0.0010979774013109168,0.001301710033206681,0.5106382978723404,0.00014078815760998158,0.44680851063829785,0.0005169196135135273,-0.11699830866504148,-0.1406626162878891,-0.2262206953022752,-0.11093422960633391
large_surprise_0_1pp_XLY_h5,94,94,1,0.00024354158476709947,0.005078438545097844,0.5957446808510638,0.001868272368756612,0.5425531914893617,-0.001307166972122804,-0.12220950352993001,-0.16725785101438925,-0.24843881228710554,-0.13160297599778167
large_surprise_0_1pp_TLT_h10,93,93,1,0.0037210209633350205,0.003977346523507702,0.6129032258064516,-0.001984786568170731,0.3978494623655914,-0.0025757620419405635,-0.06121928849507368,-0.08866459522036146,-0.06869215289788516,-0.08385145276778223
large_surprise_0_1pp_HYG_h10,94,94,1,-0.00020601951721850714,0.002145546538587089,0.6702127659574468,0.0005393572661831465,0.4574468085106383,-0.0008680324417309244,0.04905283829167925,-0.09148757946209524,-0.13728889192190422,-0.10047505394431747
large_surprise_0_1pp_XLF_h10,94,94,1,-0.007978954453788767,-0.003636383281469465,0.43617021276595747,-0.0015967493645005933,0.39361702127659576,-0.001179425883814032,-0.0238356688372786,-0.17199021467529463,-0.17276743179991091,-0.109829665597293
large_surprise_0_1pp_XLK_h10,94,94,1,-0.0027335133505932184,-0.0027816716598899217,0.46808510638297873,-0.003757754547018677,0.39361702127659576,-0.0035618370697316744,0.09279072961463251,-0.03477861176533664,-0.07730875930330557,-0.022212788591726408
large_surprise_0_1pp_XLE_h10,94,94,1,-0.010046163219055,-0.002810661659151961,0.425531914893617,-0.004825866023919697,0.3829787234042553,-0.004746339696796357,-0.15892977732695415,-0.27470125359790853,-0.2786406201272943,-0.21624363578706282
large_surprise_0_1pp_XOP_h10,94,94,1,-0.028322614248060818,-0.0031990053603722394,0.48936170212765956,-0.026712600195546554,0.4574468085106383,-0.024249014843115528,-0.15719602723263004,-0.26198012468607407,-0.22484320813612788,-0.19492357906254987
large_surprise_0_1pp_XLI_h10,94,94,1,-0.00869142297862707,-0.004973816958258033,0.4148936170212766,-0.0002914841195844357,0.4148936170212766,-0.001690133624909871,-0.017138728700559942,-0.17710743624865433,-0.19667583266684077,-0.13223498853634832
large_surprise_0_1pp_XLP_h10,94,94,1,-0.005450336697174677,-0.003435888668696011,0.425531914893617,0.002040741883162924,0.5319148936170213,0.0008068221442488148,0.09788663897192999,-0.07206450308207547,-0.07037514579183449,-0.024371118576592337
large_surprise_0_1pp_XLV_h10,94,94,1,-0.004414700882004612,-0.0028651206360474687,0.44680851063829785,0.0035833689568502843,0.5319148936170213,-0.00015035682416780066,0.11159526406307883,0.03745519021057176,-0.06186112043123817,0.03509331799066851
large_surprise_0_1pp_XLU_h10,94,94,1,-0.006248010776701367,-0.005775595080546807,0.3829787234042553,0.0018750078737951451,0.4787234042553192,0.0008508585747654961,-0.0020974087609135187,-0.0395567987201753,-0.12583363934718422,-0.06573524366715379
large_surprise_0_1pp_XLB_h10,94,94,1,-0.008219585479996268,-0.008981313693602343,0.425531914893617,0.00046116957727007505,0.44680851063829785,-0.0028787267406712724,-0.06755431133927067,-0.1745718881702637,-0.237564998220162,-0.11608795779357799
