event_id,calendar_source,event_name,release_time,event_date,timezone,source_url,raw_summary
cal_fadcbe63b39d,nasdaq_earnings_calendar,RHI earnings release (Robert Half Inc.),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.14"", ""epsForecast"": ""$0.14"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,524,605,777"", ""name"": ""Robert Half Inc."", ""noOfEsts"": ""3"", ""surprise"": ""N/A"", ""symbol"": ""RHI"", ""time"": ""time-not-supplied""}"
cal_870be567b7d9,nasdaq_earnings_calendar,"RMBI earnings release (Richmond Mutual Bancorporation, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.28"", ""epsForecast"": """", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$150,588,068"", ""name"": ""Richmond Mutual Bancorporation, Inc."", ""noOfEsts"": ""N/A"", ""surprise"": ""N/A"", ""symbol"": ""RMBI"", ""time"": ""time-not-supplied""}"
cal_397d12cad1a4,nasdaq_earnings_calendar,"ROP earnings release (Roper Technologies, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$5.16"", ""epsForecast"": ""$4.97"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$32,086,674,294"", ""name"": ""Roper Technologies, Inc."", ""noOfEsts"": ""7"", ""surprise"": ""3.82"", ""symbol"": ""ROP"", ""time"": ""time-not-supplied""}"
cal_ecaec1f7ee1f,nasdaq_earnings_calendar,SAP earnings release (SAP SE),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$2.01"", ""epsForecast"": ""$1.92"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$201,695,824,810"", ""name"": ""SAP SE"", ""noOfEsts"": ""7"", ""surprise"": ""4.69"", ""symbol"": ""SAP"", ""time"": ""time-not-supplied""}"
cal_dad6eb8aa403,nasdaq_earnings_calendar,"SBFG earnings release (SB Financial Group, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.63"", ""epsForecast"": ""$0.60"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$137,236,809"", ""name"": ""SB Financial Group, Inc."", ""noOfEsts"": ""1"", ""surprise"": ""5"", ""symbol"": ""SBFG"", ""time"": ""time-not-supplied""}"
cal_00adf84727ce,nasdaq_earnings_calendar,SES earnings release (SES AI Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""($0.03)"", ""epsForecast"": ""($0.01)"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$402,518,867"", ""name"": ""SES AI Corporation"", ""noOfEsts"": ""1"", ""surprise"": ""-200"", ""symbol"": ""SES"", ""time"": ""time-not-supplied""}"
cal_4b1509e8c5b9,nasdaq_earnings_calendar,"SHBI earnings release (Shore Bancshares, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.55"", ""epsForecast"": ""$0.45"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$650,717,858"", ""name"": ""Shore Bancshares, Inc."", ""noOfEsts"": ""2"", ""surprise"": ""22.22"", ""symbol"": ""SHBI"", ""time"": ""time-not-supplied""}"
cal_7a5e6dec690b,nasdaq_earnings_calendar,SJ earnings release (Scienjoy Holding Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""($2.08)"", ""epsForecast"": """", ""fiscalQuarterEnding"": ""Dec/2025"", ""marketCap"": ""$52,653,832"", ""name"": ""Scienjoy Holding Corporation"", ""noOfEsts"": ""N/A"", ""surprise"": ""N/A"", ""symbol"": ""SJ"", ""time"": ""time-not-supplied""}"
cal_63d251d8470a,nasdaq_earnings_calendar,"SKYW earnings release (SkyWest, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$2.21"", ""epsForecast"": ""$2.15"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$3,319,565,520"", ""name"": ""SkyWest, Inc."", ""noOfEsts"": ""2"", ""surprise"": ""2.79"", ""symbol"": ""SKYW"", ""time"": ""time-not-supplied""}"
cal_1c855c6b8f4d,nasdaq_earnings_calendar,SLM earnings release (SLM Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.54"", ""epsForecast"": ""$1.14"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$4,071,722,762"", ""name"": ""SLM Corporation"", ""noOfEsts"": ""4"", ""surprise"": ""35.09"", ""symbol"": ""SLM"", ""time"": ""time-not-supplied""}"
cal_8909b7e2a540,nasdaq_earnings_calendar,SNA earnings release (Snap-On Incorporated),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$4.69"", ""epsForecast"": ""$4.68"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$18,978,667,965"", ""name"": ""Snap-On Incorporated"", ""noOfEsts"": ""5"", ""surprise"": ""0.21"", ""symbol"": ""SNA"", ""time"": ""time-not-supplied""}"
cal_7fc216b44f19,nasdaq_earnings_calendar,SNT earnings release (Senstar Technologies Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0"", ""epsForecast"": """", ""fiscalQuarterEnding"": ""Dec/2025"", ""marketCap"": ""$63,695,413"", ""name"": ""Senstar Technologies Corporation"", ""noOfEsts"": ""N/A"", ""surprise"": ""N/A"", ""symbol"": ""SNT"", ""time"": ""time-not-supplied""}"
cal_4a418ff17f0f,nasdaq_earnings_calendar,SNY earnings release (Sanofi),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.10"", ""epsForecast"": ""$1.06"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$104,504,902,127"", ""name"": ""Sanofi"", ""noOfEsts"": ""6"", ""surprise"": ""3.77"", ""symbol"": ""SNY"", ""time"": ""time-not-supplied""}"
cal_83314632a0c0,nasdaq_earnings_calendar,SRCE earnings release (1st Source Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.63"", ""epsForecast"": ""$1.64"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$1,728,627,752"", ""name"": ""1st Source Corporation"", ""noOfEsts"": ""2"", ""surprise"": ""-0.61"", ""symbol"": ""SRCE"", ""time"": ""time-not-supplied""}"
cal_4e8dac3e767f,nasdaq_earnings_calendar,SSB earnings release (SouthState Bank Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$2.28"", ""epsForecast"": ""$2.21"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$9,109,498,371"", ""name"": ""SouthState Bank Corporation"", ""noOfEsts"": ""8"", ""surprise"": ""3.17"", ""symbol"": ""SSB"", ""time"": ""time-not-supplied""}"
cal_65eba9b1fe61,nasdaq_earnings_calendar,"SSNC earnings release (SS&C Technologies Holdings, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.50"", ""epsForecast"": ""$1.50"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$15,622,904,110"", ""name"": ""SS&C Technologies Holdings, Inc."", ""noOfEsts"": ""4"", ""surprise"": ""N/A"", ""symbol"": ""SSNC"", ""time"": ""time-not-supplied""}"
cal_e42fa265f2b2,nasdaq_earnings_calendar,"STBA earnings release (S&T Bancorp, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.94"", ""epsForecast"": ""$0.87"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$1,576,866,913"", ""name"": ""S&T Bancorp, Inc."", ""noOfEsts"": ""5"", ""surprise"": ""8.05"", ""symbol"": ""STBA"", ""time"": ""time-not-supplied""}"
cal_77fa211f4f72,nasdaq_earnings_calendar,STM earnings release (STMicroelectronics N.V.),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.13"", ""epsForecast"": ""$0.19"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$57,218,893,626"", ""name"": ""STMicroelectronics N.V."", ""noOfEsts"": ""3"", ""surprise"": ""-31.58"", ""symbol"": ""STM"", ""time"": ""time-not-supplied""}"
cal_fe6acd80dcf5,nasdaq_earnings_calendar,"STRA earnings release (Strategic Education, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.42"", ""epsForecast"": ""$1.51"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$1,787,098,198"", ""name"": ""Strategic Education, Inc."", ""noOfEsts"": ""2"", ""surprise"": ""-5.96"", ""symbol"": ""STRA"", ""time"": ""time-not-supplied""}"
cal_0fb5a99ea2df,nasdaq_earnings_calendar,TAL earnings release (TAL Education Group),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.44"", ""epsForecast"": ""$0.21"", ""fiscalQuarterEnding"": ""Feb/2026"", ""marketCap"": ""$6,716,338,796"", ""name"": ""TAL Education Group"", ""noOfEsts"": ""1"", ""surprise"": ""109.52"", ""symbol"": ""TAL"", ""time"": ""time-not-supplied""}"
cal_6102a068e6b1,nasdaq_earnings_calendar,"TBBK earnings release (The Bancorp, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.41"", ""epsForecast"": ""$1.34"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$2,280,734,568"", ""name"": ""The Bancorp, Inc."", ""noOfEsts"": ""3"", ""surprise"": ""5.22"", ""symbol"": ""TBBK"", ""time"": ""time-not-supplied""}"
cal_2949a3a43320,nasdaq_earnings_calendar,"TCBI earnings release (Texas Capital Bancshares, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.58"", ""epsForecast"": ""$1.42"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$4,240,884,886"", ""name"": ""Texas Capital Bancshares, Inc."", ""noOfEsts"": ""9"", ""surprise"": ""11.27"", ""symbol"": ""TCBI"", ""time"": ""time-not-supplied""}"
cal_99c244952720,nasdaq_earnings_calendar,TCBK earnings release (TriCo Bancshares),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.04"", ""epsForecast"": ""$0.97"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$1,580,850,629"", ""name"": ""TriCo Bancshares"", ""noOfEsts"": ""4"", ""surprise"": ""7.22"", ""symbol"": ""TCBK"", ""time"": ""time-not-supplied""}"
cal_a817cca43d74,nasdaq_earnings_calendar,TECK earnings release (Teck Resources Ltd),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$1.25"", ""epsForecast"": ""$0.72"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$32,119,557,602"", ""name"": ""Teck Resources Ltd"", ""noOfEsts"": ""11"", ""surprise"": ""73.61"", ""symbol"": ""TECK"", ""time"": ""time-not-supplied""}"
cal_17e498b38a90,nasdaq_earnings_calendar,THRM earnings release (Gentherm Inc),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.84"", ""epsForecast"": ""$0.53"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$964,792,943"", ""name"": ""Gentherm Inc"", ""noOfEsts"": ""5"", ""surprise"": ""58.49"", ""symbol"": ""THRM"", ""time"": ""time-not-supplied""}"
cal_bdc8596e03c9,nasdaq_earnings_calendar,TMO earnings release (Thermo Fisher Scientific Inc),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$5.44"", ""epsForecast"": ""$5.20"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$166,564,456,828"", ""name"": ""Thermo Fisher Scientific Inc"", ""noOfEsts"": ""8"", ""surprise"": ""4.62"", ""symbol"": ""TMO"", ""time"": ""time-not-supplied""}"
cal_a49c9b89bdbc,nasdaq_earnings_calendar,TZOO earnings release (Travelzoo),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.23"", ""epsForecast"": ""$0.16"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$98,719,003"", ""name"": ""Travelzoo"", ""noOfEsts"": ""4"", ""surprise"": ""43.75"", ""symbol"": ""TZOO"", ""time"": ""time-not-supplied""}"
cal_96dc8d101c9b,nasdaq_earnings_calendar,"UBSI earnings release (United Bankshares, Inc.)",2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$0.89"", ""epsForecast"": ""$0.85"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$5,830,258,343"", ""name"": ""United Bankshares, Inc."", ""noOfEsts"": ""3"", ""surprise"": ""4.71"", ""symbol"": ""UBSI"", ""time"": ""time-not-supplied""}"
cal_0a9ddd14c5a7,nasdaq_earnings_calendar,UNP earnings release (Union Pacific Corporation),2026-04-23T00:00:00-04:00,2026-04-23,America/New_York,https://api.nasdaq.com/api/calendar/earnings?date=2026-04-23,"{""eps"": ""$2.93"", ""epsForecast"": ""$2.85"", ""fiscalQuarterEnding"": ""Mar/2026"", ""marketCap"": ""$159,910,716,789"", ""name"": ""Union Pacific Corporation"", ""noOfEsts"": ""7"", ""surprise"": ""2.81"", ""symbol"": ""UNP"", ""time"": ""time-not-supplied""}"
