complete_option_event_count,direction_hypothesis_count,direction_hypothesis_summary,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_1d,event_directional_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,shell_status,symbol
23,5,bearish_activity:3;bearish_activity_or_call_selling:4;bullish_activity:2;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:13,0.019383402624048363,0.007720965390637602,0.002321688893688334,0.029264078613465694,2026-04-24,-0.019383402624048363,0.007720965390637602,-0.002321688893688334,0.029264078613465694,-0.030667890502672712,-0.030667890502672712,-0.008314885805302152,-0.008314885805302152,0.04816154635278869,0.04816154635278869,0.01706171373036014,0.04816154635278869,0.07882943685546133,0.07882943685546133,0.025376599535662313,0.05647643215809085,non_earnings_window,CVX
22,5,bearish_activity:5;bearish_activity_or_call_selling:2;bullish_activity:4;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:10,,,0.008655510675129818,0.04726433405025432,2026-05-01,,,0.008655510675129818,-0.04726433405025432,,,-0.013943240833027226,-0.05822798090541881,,,0.016156953260242357,0.016156953260242357,,,0.030100194093269684,0.07438493416566126,earnings_shell,CVX
23,5,bearish_activity:5;bearish_activity_or_call_selling:1;bullish_activity:3;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:13,0.007025685648909041,0.012955622159915081,0.02159270359985821,0.006477811079957596,2026-04-17,0.007025685648909041,-0.012955622159915081,0.02159270359985821,-0.006477811079957596,-0.011988784685294518,-0.013374585065583866,0.0002578233265653207,-0.007734699796964284,0.03205066228367004,0.03205066228367004,0.022043894421347687,0.03205066228367004,0.04403944696896458,0.04542524734925401,0.02178607109478227,0.03978536208063433,non_earnings_window,JPM
22,4,bearish_activity:4;bearish_activity_or_call_selling:5;bullish_activity:1;mixed_or_conflicting_activity:12,0.020046710782405497,0.02715064227325792,0.01086674451797065,0.013591540158297777,2026-04-24,-0.020046710782405497,-0.02715064227325792,0.01086674451797065,0.013591540158297777,-0.02523679771636167,-0.04129362916828849,-0.004541326067211582,-0.0055469054106656035,0.026015310756455357,0.026015310756455357,0.013948358635007096,0.025301673803036273,0.051252108472816964,0.06730893992474375,0.018489684702218727,0.030848579213701804,non_earnings_window,JPM
22,4,bearish_activity:3;bearish_activity_or_call_selling:1;bullish_activity:1;mixed_or_conflicting_activity:17,,,0.015425480846161355,0.03318718596985315,2026-05-01,,,-0.015425480846161355,-0.03318718596985315,,,-0.019073831087784487,-0.03830767753704367,,,-0.005824559157679321,0.01225717668896209,,,0.013249271930105245,0.05056485422600573,non_earnings_window,JPM
23,3,bearish_activity:4;bearish_activity_or_call_selling:2;mixed_or_conflicting_activity:17,0.03915730882495727,0.051702749641327816,0.007691228978566,0.0464602008564986,2026-04-17,0.03915730882495727,0.051702749641327816,-0.007691228978566,-0.0464602008564986,-0.08254317551751289,-0.08254317551751289,-0.015673710667400198,-0.05965179120416808,0.06193974305038674,0.07492206293215964,0.0028154428659266095,0.0032037798129511685,0.1444829185678997,0.15746523844967264,0.018489153533326846,0.0628555710171192,non_earnings_window,LLY
23,4,bearish_activity_or_call_selling:4;bullish_activity:3;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:15,0.0729557898547446,0.13885243676184444,0.017749671930856636,0.08978913072989725,2026-04-24,0.0729557898547446,0.13885243676184444,-0.017749671930856636,0.08978913072989725,-0.037841078781845394,-0.037841078781845394,-0.018009864699760292,-0.037841078781845394,0.1272964840038011,0.15708968731616824,0.008193696547355023,0.11368161455269465,0.16513756278564642,0.19493076609801352,0.026203561247115294,0.15152269333454008,non_earnings_window,LLY
23,4,bearish_activity:3;bullish_activity:3;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:16,,,0.004775103028038075,0.015446420229827784,2026-05-01,,,0.004775103028038075,-0.015446420229827784,,,-0.0120104221813917,-0.01642220215294865,,,0.011299347056564102,0.03441707410752293,,,0.02330976923795588,0.05083927626047151,non_earnings_window,LLY
22,5,bearish_activity:6;bearish_activity_or_call_selling:1;bullish_activity:8;bullish_activity_or_put_selling:3;mixed_or_conflicting_activity:4,0.01974975756285635,0.00477778566191267,0.01116393481397393,0.004328389980841507,2026-04-17,-0.01974975756285635,-0.00477778566191267,-0.01116393481397393,0.004328389980841507,-0.05861065777336272,-0.05861065777336272,-0.01535041036921403,-0.02691619953168245,0.02580477305518092,0.02580477305518092,0.0012772298304122298,0.02580477305518092,0.0844154308285437,0.0844154308285437,0.016627640199626228,0.052720972586863424,non_earnings_window,MSFT
22,3,bearish_activity_or_call_selling:1;bullish_activity:6;mixed_or_conflicting_activity:15,0.02237294522160993,0.0357731618859215,0.0004710093730864173,0.023974377090104082,2026-04-24,-0.02237294522160993,-0.0357731618859215,0.0004710093730864173,-0.023974377090104082,-0.06266779708916215,-0.06266779708916215,-0.01778036832932972,-0.06266779708916215,0.012481748386792946,0.012481748386792946,0.005864066694927228,0.012481748386792946,0.07514954547595502,0.07514954547595502,0.023644435024256956,0.07514954547595502,non_earnings_window,MSFT
22,5,bearish_activity:5;bearish_activity_or_call_selling:2;bullish_activity:8;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:6,,,0.001978573496766667,0.0016407682656114364,2026-05-01,,,-0.001978573496766667,0.0016407682656114364,,,-0.008782936010037656,-0.022512305761992035,,,0.015297751182318242,0.03267059164173358,,,0.024080687192355857,0.05518289740372552,non_earnings_window,MSFT
22,4,bearish_activity:10;bullish_activity:9;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:2,0.016015470051566894,0.048690995636652135,0.00188417294724319,0.03267552558508524,2026-04-17,-0.016015470051566894,0.048690995636652135,0.00188417294724319,0.03267552558508524,-0.022610075366917948,-0.03441094803649347,-0.019041550971836685,-0.022111265370884703,0.07509420864736205,0.07509420864736205,0.002429591431971412,0.04596390321301058,0.09770428401427997,0.1095051566838555,0.021471142403807982,0.06807516858389527,non_earnings_window,NVDA
22,4,bearish_activity:5;bullish_activity:11;bullish_activity_or_put_selling:4;mixed_or_conflicting_activity:2,0.033274115331060505,0.13189609641330957,0.04004417342872224,0.04715033370144539,2026-04-24,0.033274115331060505,0.13189609641330957,0.04004417342872224,-0.04715033370144539,-0.06496374897968982,-0.06496374897968982,-0.004273299082921289,-0.05353627502760838,0.04575791040476296,0.135737264128295,0.04107648725212454,0.04107648725212454,0.11072165938445287,0.20070101310798474,0.04534978633504582,0.09461276227973296,non_earnings_window,NVDA
22,2,bearish_activity:11;bullish_activity:11,,,0.00015117157974309237,0.08440413202317965,2026-05-01,,,0.00015117157974309237,0.08440413202317965,,,-0.01869488536155195,-0.01869488536155195,,,0.01652809271856892,0.0975056689342404,,,0.03522297808012084,0.11620055429579242,non_earnings_window,NVDA
14,4,bearish_activity:1;bearish_activity_or_call_selling:4;bullish_activity:8;mixed_or_conflicting_activity:1,0.044629898403483304,0.03918722786647311,0.0014513788098693414,0.020319303338171224,2026-04-17,-0.044629898403483304,-0.03918722786647311,-0.0014513788098693414,-0.020319303338171224,-0.04934687953555872,-0.05624092888243826,-0.0018142235123366213,-0.04281567489114657,0.010341074020319363,0.010341074020319363,0.010341074020319363,0.010341074020319363,0.059687953555878075,0.06658200290275752,0.012155297532655925,0.05315674891146589,non_earnings_window,PFE
