avg_abs_underlying_fwd_10d,avg_abs_underlying_fwd_14d,avg_abs_underlying_fwd_1d,avg_abs_underlying_fwd_5d,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_14d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,avg_underlying_path_range_10d,avg_underlying_path_range_14d,avg_underlying_path_range_1d,avg_underlying_path_range_5d,direction_hypothesis,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_14d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n_dates,n_events,n_symbols,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d,sample,symbol
0.012812807930463022,0.019264519988067455,0.016475578217471476,0.015526397828544878,0.005006490542786309,0.019264519988067455,-0.008762837794390799,0.00646537105634636,-0.10499838969404186,0.10801288244766499,-0.07481276567259103,0.1776755586794747,0.04724507430401008,0.05515133293836056,0.018553075839425167,0.03950130749466634,bearish_activity,0.4444444444444444,1.0,0.25,0.6666666666666666,3,12,1,0.4444444444444444,0.4444444444444444,0.25,0.6666666666666666,complete_evidence_by_symbol_direction,JPM
0.017876539926822754,0.02478480558770078,0.013050272433696117,0.015374671120185661,,,,,-0.6645852187028657,-0.9325037707390648,0.19268255001625637,0.05601167385457796,0.0500499982221749,0.0636616578288288,0.018211966647997308,0.03494187319644987,bearish_activity_or_call_selling,,,,,3,7,1,0.0,0.0,0.8571428571428571,0.7142857142857143,complete_evidence_by_symbol_direction,JPM
0.010280941932283155,0.01650437718825079,0.018214067232741327,0.013242431873604743,0.0002575865410804068,-0.01650437718825079,0.012043874894276784,-0.007805815810285633,-0.2067873303167421,-0.7285746606334841,0.25817185961551914,-0.2507782267393375,0.045842612344927675,0.05089617049312645,0.019419433983334157,0.04015390393632211,bullish_activity,0.75,0.0,0.8,0.2,3,5,1,0.0,0.0,0.8,0.2,complete_evidence_by_symbol_direction,JPM
0.007025685648909041,0.012955622159915081,0.02159270359985821,0.006477811079957596,,,,,-0.37246376811594206,-0.07971014492753636,-0.2797101449275363,0.08695652173913038,0.04403944696896458,0.04542524734925401,0.02178607109478227,0.03978536208063433,bullish_activity_or_put_selling,,,,,1,1,1,0.0,0.0,0.0,1.0,complete_evidence_by_symbol_direction,JPM
0.01327577771298734,0.019769231814319645,0.01603188703329875,0.01932124255777442,,,,,-0.18721959997376877,-0.30086702603449406,0.03013183891487718,-0.02754304689554634,0.04750152449081372,0.055929419785489085,0.017388875320728175,0.041595123320351556,mixed_or_conflicting_activity,,,,,3,42,1,0.28,0.28,0.47619047619047616,0.4523809523809524,complete_evidence_by_symbol_direction,JPM
0.03915730882495727,0.051702749641327816,0.0064414607140540325,0.03316858058792539,-0.03915730882495727,-0.051702749641327816,0.0023485152614499682,0.03316858058792539,-0.7524633018298813,-0.9245928011260809,-0.08842512877810847,0.19542068523409878,0.1444829185678997,0.15746523844967264,0.020555131692453574,0.05770573040712733,bearish_activity,0.0,0.0,0.5714285714285714,1.0,2,7,1,0.0,0.0,0.0,0.5714285714285714,complete_evidence_by_symbol_direction,LLY
0.06168962951148216,0.10980254105500557,0.014396857613426425,0.07534615410543104,,,,,0.4199515748065623,1.280228166749687,-0.15048475254172464,0.4665510633269638,0.15825268137973084,0.18244225688189988,0.023632092009185812,0.12196698589539978,bearish_activity_or_call_selling,,,,,2,6,1,1.0,1.0,0.0,0.6666666666666666,complete_evidence_by_symbol_direction,LLY
0.0729557898547446,0.13885243676184444,0.011262387479447356,0.052617775479862516,0.0729557898547446,0.13885243676184444,-0.006487284451409281,0.03717135525003473,0.6172506738544474,1.8930817610062896,-0.0927581033305585,0.1722441256920347,0.16513756278564642,0.19493076609801352,0.024756665242535586,0.1011809847975058,bullish_activity,1.0,1.0,0.5,0.5,2,6,1,1.0,1.0,0.5,0.5,complete_evidence_by_symbol_direction,LLY
0.0729557898547446,0.13885243676184444,0.011262387479447356,0.052617775479862516,,,,,-0.9761965054444163,-0.9992403140035452,0.0026036171715690948,-0.483899988004958,0.16513756278564642,0.19493076609801352,0.024756665242535586,0.10118098479750579,bullish_activity_or_put_selling,,,,,2,2,1,0.0,0.0,0.5,0.0,complete_evidence_by_symbol_direction,LLY
0.05500034680767008,0.09255416547906999,0.009862450417647516,0.04966256456637874,,,,,-0.38960117841918274,-0.2322827481213848,-0.02504930307425689,-0.22087989746860817,0.15416478304496847,0.17502720453483242,0.022506777845428746,0.086558615155764,mixed_or_conflicting_activity,,,,,3,48,1,0.4375,0.4375,0.375,0.2708333333333333,complete_evidence_by_symbol_direction,LLY
0.01974975756285635,0.00477778566191267,0.006988770578879719,0.0031067437466460205,0.01974975756285635,0.00477778566191267,0.006988770578879719,-0.0031067437466460205,-0.18309859154929575,-0.49014084507042255,0.08769233498830481,-0.163188013235829,0.0844154308285437,0.0844154308285437,0.020015388832685152,0.05384002932180074,bearish_activity,1.0,1.0,1.0,0.0,2,11,1,0.0,0.0,1.0,0.0,complete_evidence_by_symbol_direction,MSFT
0.02106135139223314,0.020275473773917085,0.0038980227951484203,0.007896075900542115,,,,,-0.7862144608370253,-0.833278850703256,-0.09811396354516497,-0.32027895327177014,0.07978248815224936,0.07978248815224936,0.022108362402148724,0.05955907821756737,bearish_activity_or_call_selling,,,,,3,4,1,0.0,0.0,0.25,0.25,complete_evidence_by_symbol_direction,MSFT
0.020873980845179312,0.018061518329345026,0.00490755103292924,0.008709069477829456,-0.020873980845179312,-0.018061518329345026,-0.0046506368294275575,-0.004367863480409134,-0.7766699642995398,-0.8106142814130254,-0.1034262756470164,-0.2926996784883145,0.08044433710600571,0.08044433710600571,0.021251510421881746,0.059733101490020084,bullish_activity,0.0,0.0,0.2727272727272727,0.7272727272727273,3,22,1,0.0,0.0,0.2727272727272727,0.36363636363636365,complete_evidence_by_symbol_direction,MSFT
0.01974975756285635,0.00477778566191267,0.008867594484672114,0.0036564845520339895,,,,,-0.18309859154929575,-0.49014084507042255,0.10628712227173664,-0.0983731255895651,0.0844154308285437,0.0844154308285437,0.018490901947808634,0.053336453791078944,bullish_activity_or_put_selling,,,,,2,4,1,0.0,0.0,1.0,0.0,complete_evidence_by_symbol_direction,MSFT
0.021820695188188122,0.029247819522972274,0.0025436928333116794,0.015470953034743835,,,,,-0.44417857590262355,-0.38863108040936867,0.004007882045963109,-0.26782986783987517,0.07710025818176316,0.07710025818176316,0.02262644837265978,0.06676897827636528,mixed_or_conflicting_activity,,,,,3,25,1,0.0,0.0,0.88,0.08,complete_evidence_by_symbol_direction,MSFT
0.021768351811398096,0.07642602922887128,0.008489441692046813,0.05734432217742521,-0.00041439174264223944,-0.07642602922887128,-0.008489441692046813,-0.03920957844610006,-0.24673014586709888,-0.8686736898973528,-0.12307747873921118,-0.4077281447164308,0.10204340913767093,0.13990377549189859,0.03188127363825532,0.09353929209582054,bearish_activity,0.6666666666666666,0.0,0.0,0.19230769230769232,3,26,1,0.0,0.0,0.0,0.19230769230769232,complete_evidence_by_symbol_direction,NVDA
0.02550772495528838,0.09445380106381372,0.01480988231026798,0.05616705978182718,0.011093801908878176,0.09445380106381372,0.01480988231026798,0.022705532638865936,-0.12621799970283093,1.785792698382177,0.23229417272728614,0.666228813669726,0.10486384046787507,0.1596628777171266,0.034823893232293714,0.09456848385760763,bullish_activity,0.55,1.0,1.0,0.6451612903225806,3,31,1,0.55,1.0,0.6451612903225806,0.6451612903225806,complete_evidence_by_symbol_direction,NVDA
0.02982238627516178,0.11525507625797808,0.03241217333242643,0.04425537207817336,,,,,-0.5762690437601297,-0.9571021069692058,-0.3205105348460292,0.3946596434359806,0.10811818431041828,0.1824618418231589,0.040574057548798254,0.08930524354056543,bullish_activity_or_put_selling,,,,,2,5,1,0.0,0.0,0.0,0.8,complete_evidence_by_symbol_direction,NVDA
0.0246447926913137,0.09029354602498085,0.020964173187982715,0.039912929643265316,,,,,-0.5694008875739645,-0.2401035502958579,-0.18504068047337274,0.5385539940828403,0.10421297169936641,0.15510308489592012,0.0334104643694269,0.08134396543181412,mixed_or_conflicting_activity,,,,,2,4,1,0.0,0.5,0.5,1.0,complete_evidence_by_symbol_direction,NVDA
0.044629898403483304,0.03918722786647311,0.0011913837451819804,0.0239587748885558,0.044629898403483304,0.03918722786647311,0.0011913837451819804,0.0239587748885558,,,-0.014999999999999994,-0.4794444444444445,0.059687953555878075,0.06658200290275752,0.013419730244555296,0.04525647043194639,bearish_activity,1.0,1.0,1.0,1.0,2,6,1,,,0.0,0.16666666666666666,complete_evidence_by_symbol_direction,PFE
0.046049561898618495,0.04155691734308083,0.002954980032440241,0.022535022672447502,,,,,-0.6287878787878788,-0.7954545454545454,-0.27303030303030307,-0.5665151515151515,0.06423641348169645,0.0688324463796161,0.014634691851950642,0.050275255917521335,bearish_activity_or_call_selling,,,,,3,8,1,0.0,0.0,0.0,0.0,complete_evidence_by_symbol_direction,PFE
0.04579144126313937,0.041126064710970335,0.003006979045377713,0.021807128362370587,-0.04579144126313937,-0.041126064710970335,-0.003006979045377713,-0.021807128362370587,-0.6632231404958677,-0.7995867768595041,-0.3107070707070707,-0.5903535353535353,0.0634094207679113,0.06842327483836907,0.014381805309570768,0.051855311613425235,bullish_activity,0.0,0.0,0.0,0.0,3,12,1,0.0,0.0,0.0,0.0,complete_evidence_by_symbol_direction,PFE
0.04888888888888887,0.04629629629629628,0.00445858125501114,0.02475074200672378,,,,,0.24629080118694358,0.1572700296735905,0.0,-0.6000000000000001,0.07333333333333322,0.07333333333333322,0.01711408617124536,0.04739376292357678,bullish_activity_or_put_selling,,,,,2,2,1,1.0,1.0,0.0,0.0,complete_evidence_by_symbol_direction,PFE
0.04841566772384381,0.045506399804093704,0.0038103416543390557,0.024519559152082492,,,,,-0.18796364985163205,-0.6365912462908012,-0.20368421052631583,-0.4914035087719298,0.07181718002472709,0.0725831855077137,0.01634992633166936,0.04712430999484109,mixed_or_conflicting_activity,,,,,3,20,1,0.125,0.125,0.0,0.05263157894736842,complete_evidence_by_symbol_direction,PFE
0.22245652421004772,0.42745709252102754,0.034100870230424345,0.13322874678225125,-0.1659470902477836,-0.36877784723800866,-0.034100870230424345,-0.09229254916157989,-0.5570708283313326,-0.5615366146458582,-0.18987239340180517,-0.32134453781512595,0.32831922027733584,0.5358485877472153,0.06893698146941322,0.21750765182671927,bearish_activity,0.4,0.4,0.0,0.6666666666666666,3,15,1,0.4,0.4,0.0,0.26666666666666666,complete_evidence_by_symbol_direction,RKLB
0.12124336970523601,0.19138506857619153,0.038708337215637934,0.1584092425510374,,,,,0.019973359973359896,0.7358108558108558,0.23707784933513082,1.2186237306382937,0.25967558914904904,0.3288520449723422,0.06898173389375063,0.23778975648267525,bearish_activity_or_call_selling,,,,,3,8,1,0.2,0.2,1.0,0.375,complete_evidence_by_symbol_direction,RKLB
0.16552412480109113,0.2946665790520573,0.0374303911442684,0.14064754935101687,0.07722813423505343,0.20298025829734032,0.0374303911442684,0.08487374659281428,0.5614083832833832,1.9650620213120213,0.22365003523984103,1.0549861344157458,0.2897071777676745,0.4194130324363492,0.06889242233665578,0.22385838494788315,bullish_activity,0.375,0.375,1.0,0.3333333333333333,3,12,1,0.375,0.375,1.0,0.3333333333333333,complete_evidence_by_symbol_direction,RKLB
0.1971532355838448,0.36843908653481855,0.035580657303243925,0.1365259923683693,,,,,-0.45246098439375754,-0.45226090436174465,-0.19144102085278558,-0.29691876750700275,0.3111583124952641,0.4840994520534971,0.06891717741040992,0.2203301998805699,bullish_activity_or_put_selling,,,,,3,9,1,0.5,0.5,0.0,0.3333333333333333,complete_evidence_by_symbol_direction,RKLB
